"entity","facility","assertion_type","docket","accession","filed_date","class_type","document_title","retrievable","text_layer","evidence_note","confidence"
"Sabine Pass Liquefaction Expansion, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","status_authorised","CP13-552","20220204-3018","2022-02-04","Order/Opinion::Delegated Order","Letter order granting Sabine Pass Liquefaction Expansion, LLC's et al February 1, 2022 request to commence service for liquefaction and export activities from Train 6 under CP13-552","yes","unknown","Train 6 in-service authorization. POST-2019.","verified"
"Sabine Pass Liquefaction, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","material_order","CP11-72,CP13-552","20220309-3016","2022-03-09","Order/Opinion::Delegated Order","Letter order approving Sabine Pass Liquefaction, LLC's 10/22/2021 request to place liquefied natural gas Tank S-101 back into service for the import or export of LNG under the Natural Gas Act","yes","unknown","Operating restriction lifted on storage Tank S-101 - a storage-availability event, not a capacity amendment. POST-2019.","verified"
"Sabine Pass Liquefaction, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","material_order","CP11-72,CP13-552","20230724-3048","2023-07-24","Order/Opinion::Delegated Order","Letter to Sabine Pass Liquefaction, LLC et al granting the January 13, 2023 request to modify the LNG Storage Tank Corrosion Mitigation In-Service Proof of Concept Test Plan and Procedure","yes","unknown","Ongoing storage-tank corrosion mitigation condition - an active operating restriction. POST-2019.","verified"
"Sabine Pass Liquefaction, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","material_order","CP11-72-001","20120726-3046","2012-07-26","Order/Opinion::Commission Order/Opinion","Order denying rehearing and stay re Sabine Pass Liquefaction, LLC et al under CP11-72","yes","unknown","Rehearing denial finalising the 2012 Stages 1-2 authorization.","verified"
"Sabine Pass Liquefaction, LLC / Sabine Pass LNG, L.P.","Sabine Pass LNG Terminal (Cameron Parish, LA)","operational_report","CP04-47,CP05-396,CP11-72,CP13-2,CP13-552,CP15-482,CP19-11,CP19-515","20260803-5167","2026-08-03","Report/Form::Certificate of Compliance Report","Sabine Pass Liquefaction, LLC et al. submit Semi-Annual Operational Report for the period of 01/01/2026 to 06/30/2026 under CP04-47, et al.","yes","yes","LATEST REPORT PERIOD 2026-H1. DOWNLOADED AND PARSED (245KB PDF, text layer confirmed). SHARED FILING: two legal entities, eight dockets, both the import terminal and all six liquefaction trains. Public copy contains the COVER LETTER ONLY; the operating data is withheld as CUI//PRIV. Class/type is Certificate of Compliance Report, NOT 284.126(g).","verified"
"Sabine Pass Liquefaction, LLC / Sabine Pass LNG, L.P.","Sabine Pass LNG Terminal (Cameron Parish, LA)","operational_report","CP04-47,CP11-72,CP13-552,CP15-482,CP19-11,CP05-396,CP13-2,CP19-515","20260803-5168","2026-08-03","Report/Form::Certificate of Compliance Report","Sabine Pass Liquefaction, LLC et al. submit Semi-Annual Operational Report for the period of 01/01/2026 to 06/30/2026 (non-public twin)","nonpublic","unknown","availCode N. Same filing as 20260803-5167 under a second accession. This is where the send-out / liquefied quantities / cargo data actually live. Not retrievable without privileged access; not attempted. Must be deduplicated against -5167 or the event will be double-counted.","verified"
"Sabine Pass Liquefaction, LLC / Sabine Pass LNG, L.P.","Sabine Pass LNG Terminal (Cameron Parish, LA)","status_operating","CP04-47,CP05-396,CP11-72,CP13-2,CP13-552,CP15-482,CP19-11,CP19-515","20260803-5167","2026-08-03","Report/Form::Certificate of Compliance Report","Semi-Annual Operational Report for the period of 01/01/2026 to 06/30/2026","yes","yes","Operating evidence is the REPORT PERIOD, parseable from the description alone. Distinct from status_authorised (per-train letter orders) and from status_requested (2011 application).","verified"
"Sabine Pass LNG, L.P.","Sabine Pass LNG Terminal (Cameron Parish, LA)","operational_report","CP04-47","20041221-3094","2004-12-21","Order/Opinion::Commission Order/Opinion","Order granting authority under Section 3 of the NGA - source of the semi-annual operational reporting obligation","yes","yes","OBLIGATION SOURCE, verbatim from parsed order text: 'Cheniere Sabine shall file semi-annual operational reports with the Commission to identify changes in facility design and operating conditions, abnormal operating experiences, activities (including ship arrivals, quantity and composition of imported LNG, vaporization quantities, boil-off/flash gas, etc.), plant modifications including future plans and progress thereof.' Confirmed independently by the filer's own cover letter in 20260803-5167.","verified"
"Sabine Pass Liquefaction, LLC / Sabine Pass LNG, L.P.","Sabine Pass LNG Terminal (Cameron Parish, LA)","inspection","CP04-47,CP11-72,CP13-552,CP05-396","20260818-3046","2026-08-18","FERC Correspondence With Applicant::General Correspondence","Letter to Sabine Pass Liquefaction, LLC et al. discussing the 05/05/2026 et al. Inspection of the Sabine Pass LNG facility under CP04-47 et al.","yes","unknown","LATEST INSPECTION, conducted 2026-05-05, letter issued 2026-08-18. No Compliance Directives class/type pair on this letter, so no unresolved condition is flagged in metadata; confirming that requires reading the letter body. POST-2019.","verified"
"Sabine Pass Liquefaction, LLC / Sabine Pass LNG, L.P.","Sabine Pass LNG Terminal (Cameron Parish, LA)","inspection","CP04-47,CP05-396,CP11-72,CP13-552","20260219-5047","2026-02-19","Report/Form::Certificate of Compliance Report","Sabine Pass Liquefaction, LLC et al. submit response to FERC's 01/20/2026 letter re the Annual Post-Authorization Review and Site Inspection of the Sabine Pass facility","yes","unknown","Company response to the pre-inspection data request. The paired non-public twin is 20260219-5046 (availCode N).","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","liquefaction_capacity","CP12-507","20141230-3043","2014-12-30","Order/Opinion::Commission Order/Opinion","Order Granting Authorization under Section 3 of the Natural Gas Act and Issuing Certificates re Corpus Christi Liquefaction, LLC et al under CP12-507","yes","yes","DOWNLOADED AND PARSED (.DOCX inside a ZIP). Verbatim: 'capability to liquefy for export approximately 15 million metric tons per annum (MMTPA) of LNG' and 'three liquefaction trains, each with a liquefaction capacity of approximately 5 MMTPA'. FERC authorises the FACILITY; the export VOLUME (782 million MMBtu/yr, ~763 Bcf/yr) is a DOE authorization recited in the same order and is not a FERC figure.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","regas_capacity","CP12-507","20141230-3043","2014-12-30","Order/Opinion::Commission Order/Opinion","Order Granting Authorization under Section 3 of the NGA re Corpus Christi Liquefaction, LLC","yes","yes","Verbatim, from the SAME order as the liquefaction figure: 'vaporize approximately 400 million cubic feet (MMcf) per day of imported natural gas' and 'two trains of ambient air vaporizers, each with an average vaporization capacity of approximately 200 MMcf per day'. Distinct assertion; must not be merged with or substituted for the 15 MMTPA liquefaction figure.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","storage_capacity","CP12-507","20141230-3043","2014-12-30","Order/Opinion::Commission Order/Opinion","Order Granting Authorization under Section 3 of the NGA re Corpus Christi Liquefaction, LLC","yes","yes","Verbatim: 'the LNG will be stored in three proposed 160,000 cubic meter (m3) full containment LNG storage tanks'. Units are cubic metres of LNG, not Bcf of gas - do not convert silently.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","status_requested","CP12-507","20120831-5040","2012-08-31","Application/Petition/Request::Certificate of Public Convenience and Necessity","Corpus Christi Liquefaction, LLC Application for Authorization under the Natural Gas Act under CP12-507, et al.","yes","unknown","Public volume. Eleven accessions were filed the same day across P/N/C availability bands and volume splits - a single application is not a single accession.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","status_authorised","CP12-507","20190301-3003","2019-03-01","Order/Opinion::Delegated Order","Letter order granting Corpus Christi Liquefaction, LLC's February 19, 2019 filing of a request to commence service for liquefaction and export activities from the Train 1 and associated Stage 1 facilities","yes","unknown","Train 1 in-service authorization.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","status_authorised","CP12-507","20190828-3000","2019-08-28","Order/Opinion::Delegated Order","Letter order granting Corpus Christi Liquefaction, LLC's 08/15/2019 request to commence service for liquefaction and export activities from train 2 facilities under CP12-507","yes","unknown","Train 2 in-service authorization.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","status_authorised","CP12-507","20210325-3032","2021-03-25","Order/Opinion::Delegated Order","Letter order granting Corpus Christi Liquefaction, LLC's 02/10/2021 request to commence service for liquefaction and export activities from Train 3 under CP12-507","yes","unknown","Train 3 in-service authorization - completes the three trains authorised in 2014.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","status_authorised","CP12-507","20210129-3073","2021-01-29","Order/Opinion::Delegated Order","Letter order granting Corpus Christi Liquefaction, LLC's 01/14/2021 request to place in-service LNG Storage Tank B under CP12-507","yes","unknown","STORAGE in-service, not liquefaction. Separate letter orders exist per tank and per marine facility (East Jetty: 20200618-3040) - the in-service sequence is per-component, not per-project.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","status_authorised","CP12-507","20200618-3040","2020-06-18","Order/Opinion::Delegated Order","Letter order granting Corpus Christi Liquefaction, LLC's 06/05/2020 request to introduce hazardous fluids and commence service of East Jetty facilities under CP12-507","yes","unknown","Marine berth in-service. Introduction of hazardous fluids is a distinct authorization step from commencing service.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","material_order","CP12-507-001","20150506-3042","2015-05-06","Order/Opinion::Commission Order/Opinion","Order denying rehearing re Corpus Christi Liquefaction, LLC et al under CP12-507 et al.","yes","unknown","Rehearing denial finalising the 2014 authorization.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","operational_report","CP12-507","20260810-5047","2026-08-10","Report/Form::Certificate of Compliance Report","Corpus Christi Liquefaction, LLC submits Semi-Annual Operational Report for the period of 01/01/2026 to 06/30/2026 re the Corpus Christi LNG Terminal","yes","unknown","LATEST REPORT PERIOD 2026-H1. Single-entity, single-docket filing - no joint-filer complication. Non-public twin is 20260810-5048 (availCode N). Class/type is Certificate of Compliance Report, not 284.126(g).","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","status_operating","CP12-507","20260810-5047","2026-08-10","Report/Form::Certificate of Compliance Report","Semi-Annual Operational Report for the period of 01/01/2026 to 06/30/2026","yes","unknown","Operating evidence is the report period.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","operational_report","CP12-507","20141230-3043","2014-12-30","Order/Opinion::Commission Order/Opinion","Order Granting Authorization under Section 3 - source of the semi-annual operational reporting obligation","yes","yes","OBLIGATION SOURCE, verbatim: 'Semi-annual operational reports shall be filed with the Secretary to identify changes in facility design and operating conditions, abnormal operating experiences, activities (including ship arrivals/departures, quantity and composition of imported and exported LNG, liquefied and vaporized quantities, boil-off/...)'. Also requires a section 'Significant Plant Modifications Proposed for the Next 12 Months'. Note the export/liquefaction wording, absent from the older import-only condition.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","inspection","CP12-507","20260819-3015","2026-08-19","FERC Correspondence With Applicant::General Correspondence","Letter to Corpus Christi Liquefaction, LLC discussing the 04/21/2026 et al. annual inspection of the terminal near Corpus Christi, Texas under CP12-507","yes","unknown","LATEST INSPECTION, conducted 2026-04-21, letter issued 2026-08-19. Annual cadence.","verified"
"Corpus Christi Liquefaction, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","inspection","CP12-507","20260220-5059","2026-02-20","Report/Form::Certificate of Compliance Report","Corpus Christi Liquefaction, LLC submits response to FERC's 01/21/2026 letter re Annual Post-Authorization Review and Site Inspection of the Corpus Christi terminal","yes","unknown","Pre-inspection data response. Non-public twin 20260220-5060 (availCode N).","verified"
"Corpus Christi Liquefaction Stage III, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","status_authorised","CP18-512","20191122-3017","2019-11-22","Order/Opinion::Commission Order/Opinion","Order Granting Authorizations under Sections 3 and 7 of the Natural Gas Act re Corpus Christi Liquefaction Stage III, LLC et al under CP18-512 et al.","yes","unknown","SEPARATE ENTITY AND SEPARATE DOCKET. Stage III capacity is NOT part of CP12-507's 15 MMTPA and must not be added to Corpus Christi Liquefaction, LLC's authorised capacity. Capacity figure not extracted.","probable"
"Corpus Christi Liquefaction Stage III, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","material_order","CP18-512","20230518-3048","2023-05-18","Order/Opinion::Commission Order/Opinion","Order Vacating Authorization in Part re Corpus Christi Liquefaction, LLC et al under CP18-512","yes","unknown","PARTIAL VACATUR of the Stage III authorization. Any Stage III capacity figure taken from the 2019 order is superseded in part by this order - a direct example of why the newest filing in a docket is not the whole answer.","verified"
"Corpus Christi Liquefaction Stage III, LLC","Corpus Christi LNG Terminal (San Patricio/Nueces Cos., TX)","status_requested","CP18-512,CP18-513","20180628-5128","2018-06-28","Application/Petition/Request::Certificate of Public Convenience and Necessity","Application for Authorizations under the Natural Gas Act of Corpus Christi Liquefaction Stage III, LLC, Corpus Christi Liquefaction, LLC and Cheniere Corpus Christi Pipeline","yes","unknown","Joint application across three Cheniere entities; public volume (CEII twin 20180628-5129).","verified"
"Elba Liquefaction Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","liquefaction_capacity","CP14-103,CP14-115","20160601-4008","2016-06-01","Order/Opinion::Commission Order/Opinion","Order granting Section 3 and Section 7 authorizations re Elba Liquefaction Company, L.L.C. under CP14-103 et al.","yes","unknown","Original liquefaction authorization. Its content is recited verbatim in the 2024 amendment order (parsed): 'the Elba Liquefaction Project included: (1) the installation of ten Movable Modular Liquefaction System (MMLS) units and ancillary facilities, with a total liquefaction capacity of approximately 2.5 MTPA'. The 2016 order itself was not downloaded.","probable"
"Elba Liquefaction Company, L.L.C. / Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","liquefaction_capacity","CP23-375","20241121-3047","2024-11-21","Order/Opinion::Commission Order/Opinion","Order Amending Authorization Under Section 3 of the Natural Gas Act re Elba Liquefaction Company, L.L.C. et al. under CP23-375","yes","yes","DOWNLOADED AND PARSED (raw .docx). Verbatim: 'The proposed modifications would increase the LNG Terminal's production capacity from 2.5 million metric tons per annum (MTPA) to 2.9 MTPA. As discussed below, the Commission grants the applicants' proposal, subject to the conditions herein.' CURRENT authorised liquefaction capacity = 2.9 MTPA. Errata at 20241122-3097 corrects the Appendix / Environmental Conditions and must be applied.","verified"
"Elba Liquefaction Company, L.L.C. / Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","material_order","CP23-375","20241122-3097","2024-11-22","Order/Opinion::Commission Order/Opinion","Errata to the 11/21/2024 Commission issued Order Amending Authorization under Section 3; correcting the Appendix, Environmental Conditions re Elba","yes","unknown","Errata issued the day after the amendment order and changing the ENVIRONMENTAL CONDITIONS appendix. Any condition set read from 20241121-3047 alone is stale.","verified"
"Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","regas_capacity","CP06-470","20070920-3066","2007-09-20","Order/Opinion::Commission Order/Opinion","Order issuing certificates, authorizing abandonments, granting authorization, and denying rehearing re Southern LNG, Inc et al under CP06-470 et al. (Elba III Expansion)","yes","unknown","Elba III authorization, recited in the parsed 2024 order: 'the Commission authorized additional facilities to expand the storage capacity of the terminal by 8.44 Bcf and the vaporization capacity by 900 million cubic feet per day (MMcf/day) in two phases, Phase A and Phase B'; Phase A = 'a new storage tank with 4.22 Bcf of storage capacity, and installation of additional vaporization with a firm send-out capacity of 405 MMcf/day'. AUTHORISED, not as-built - see the vacatur row below.","probable"
"Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","storage_capacity","CP06-470","20070920-3066","2007-09-20","Order/Opinion::Commission Order/Opinion","Order issuing certificates re Southern LNG, Inc et al (Elba III Expansion) - storage component","yes","unknown","Authorised +8.44 Bcf storage across Phases A and B; Phase A alone is a 4.22 Bcf tank. The terminal as currently authorised has 'five LNG storage tanks' per the parsed 2024 order. Volumetric total for the operating terminal is not established.","probable"
"Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","material_order","CP06-470","20111011-3020","2011-10-11","Order/Opinion::Commission Order/Opinion","Order vacating section 3 Authorization re Southern LNG Company, LLC under CP06-470","yes","unknown","CRITICAL. Part of the Elba III authorization was VACATED in 2011. The 8.44 Bcf / 900 MMcf/day figures cannot be carried forward as current authorised capacity without reconciling this order. Marked unresolved on purpose.","unresolved"
"Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","material_order","CP06-470-001","20080219-3044","2008-02-19","Order/Opinion::Commission Order/Opinion","Order denying rehearing and granting reconsideration re Southern LNG, Inc, Elba Express Company, L.L.C and Southern Natural Gas Co under CP06-470 et al.","yes","unknown","Rehearing/reconsideration on Elba III.","probable"
"Elba Liquefaction Company, L.L.C. / Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","status_requested","CP14-103","20140310-5158","2014-03-10","Application/Petition/Request::Certificate of Public Convenience and Necessity","Application of Elba Liquefaction Company, L.L.C. and Southern LNG Company, L.L.C. for authorization under Section 3 of the NGA and Application of Southern Natural Gas","yes","unknown","Joint application. Seven accessions same day across P/N/C bands.","verified"
"Elba Liquefaction Company, L.L.C. / Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","status_requested","CP23-375,CP14-103","20230428-5621","2023-04-28","Application/Petition/Request::Certificate of Public Convenience and Necessity","Elba Liquefaction Company, L.L.C. and Southern LNG Company, L.L.C. submits Application for a Limited Amendment of Authorization under Section 3 of the NGA","yes","unknown","The request that produced the 2.5 -> 2.9 MTPA amendment. Requested 2023-04-28; granted 2024-11-21 - a 19-month gap that a requested/authorised conflation would erase.","verified"
"Elba Liquefaction Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","status_authorised","CP14-103","20191230-3015","2019-12-30","Order/Opinion::Delegated Order","Letter order granting Elba Liquefaction Company, L.LC.'s et al 12/26/2019 request to commence service for liquefaction and export activities from the Movable Modular Liquefaction System No. 1","yes","unknown","FIRST MMLS unit in service. Elba's in-service sequence is TEN separate letter orders across 2019-2020 (20200116-3052, 20200302-3018, 20200420-3060, 20200717-3006, 20200727-3046, 20200810-3020, 20200827-3006 and later) - a single COD date is not sourceable here.","verified"
"Elba Liquefaction Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","status_authorised","CP14-103","20200827-3006","2020-08-27","Order/Opinion::Delegated Order","Letter order granting Elba Liquefaction Company, L.L.C.'s et al 08/20/2020, as supplemented on 08/26/2020, request to commence service for liquefaction and export activities from the Moveable Modular Liquefaction System","yes","unknown","Latest MMLS in-service letter order found in the CP14-103 delegated-order sweep (75 delegated orders total, 10 service-related).","verified"
"Elba Liquefaction Company, L.L.C. / Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","operational_report","CP71-264,CP99-579,CP99-580,CP99-581,CP99-582,CP02-379,CP02-380,CP06-470,CP14-103","20260813-5004","2026-08-13","Report/Form::Certificate of Compliance Report","Elba Liquefaction Company, L.L.C. and Southern LNG Company, L.L.C. submit Semi-Annual Operating Report for the period of 01/01/2026 to 6/30/2026","yes","unknown","LATEST REPORT PERIOD 2026-H1. SHARED FILING: two entities, NINE dockets, covering both the liquefaction project and the regasification terminal in one document. Note the wording is 'Operating Report' here and 'Operational Report' at Sabine/CCL - description matching must accept both. CEII twin is 20260813-5005 (availCode C).","verified"
"Elba Liquefaction Company, L.L.C. / Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","status_operating","CP14-103,CP06-470,CP99-579","20260813-5004","2026-08-13","Report/Form::Certificate of Compliance Report","Semi-Annual Operating Report for the period of 01/01/2026 to 6/30/2026","yes","unknown","Operating evidence is the report period. One report supports the operating status of BOTH assets; capacities must still be attributed separately.","verified"
"Southern LNG Company, L.L.C.","Elba Island LNG Terminal (Chatham County, GA)","inspection","CP02-379,CP02-380,CP06-470,CP23-375,CP14-103,CP99-579","20260730-3052","2026-07-30","FERC Correspondence With Applicant::General Correspondence","Letter to Southern LNG Company, L.L.C. discussing the 05/05/2026 et al. annual inspection of the Elba Island LNG terminal under CP99-579 et al.","yes","unknown","LATEST INSPECTION, conducted 2026-05-05, letter issued 2026-07-30. Addressed to Southern LNG (terminal operator) but scoped across the liquefaction dockets too.","verified"
"Gulf LNG Energy, LLC","Gulf LNG / Clean Energy Project (Jackson County, MS)","regas_capacity","CP06-12,CP06-13,CP06-14","20070216-3045","2007-02-16","Order/Opinion::Commission Order/Opinion","Order granting authority under Section 3 of the Natural Gas Act and issuing certificates for Gulf LNG Energy, LLC and Gulf LNG Pipeline, LLC under CP06-12","yes","unknown","The authorizing order for the Gulf LNG import/regasification terminal (the 'LNG Clean Energy Project'). Located, NOT downloaded - send-out and storage figures not extracted.","probable"
"Gulf LNG Energy, LLC","Gulf LNG / Clean Energy Project (Jackson County, MS)","status_requested","CP06-12,CP06-13,CP06-14","20051028-4011","2005-10-28","Application/Petition/Request::Certificate of Public Convenience and Necessity","Gulf LNG Energy, LLC and Gulf LNG Pipeline, LLC submit a CD containing an amended application for authorization to site, construct and operate LNG Import terminal facilities","yes","unknown","Amended application, filed on CD - one of six same-day accessions. Notice of the filing is 20051107-3014.","verified"
"Gulf LNG Energy, LLC","Gulf LNG / Clean Energy Project (Jackson County, MS)","status_authorised","CP06-12,CP06-13,CP06-14","20110926-3039","2011-09-26","Order/Opinion::Delegated Order","Letter order granting Gulf LNG Energy, LLC and Gulf LNG Pipeline, LLC's 9/22/11 request for authorization to commence service from The Gulf LNG import terminal","yes","unknown","In-service authorization for the import terminal.","verified"
"Gulf LNG Energy, LLC","Gulf LNG / Clean Energy Project (Jackson County, MS)","operational_report","CP06-12","20260812-5032","2026-08-12","Report/Form::Certificate of Compliance Report","Gulf LNG Energy, LLC submits Semi-Annual Operational Report No. 30 for the period of 01/01/2026 to 06/30/2026 re the Clean Energy Project under CP06-12","yes","unknown","LATEST REPORT PERIOD 2026-H1. Gulf LNG NUMBERS its reports ('No. 30') where Cheniere and Elba do not - a sequence number the adapter can use for gap detection. CEII twin 20260812-5033 (availCode C).","verified"
