"entity","cid","docket","proceeding_type","accession","filed_date","issued_date","class_type","description","stage_evidence","confidence"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-005","compliance_or_effective_tariff_filing","20260130-5166","2026-01-30","2026-01-30","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.203: RP24-1035 Stipulation and Agreement Tariff Record Filing to be effective 3/1/2025 under RP24-1035","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-005","commission_order_or_opinion","20260213-3062","2026-02-13","2026-02-13","Order/Opinion::Delegated Order","Letter order accepting Transcontinental Gas Pipe Line Company, LLC's 01/30/2026 filing of tariff records in compliance with the Commission's 12/30/2025 order approving the Stipulation and Agreement","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-006","compliance_or_effective_tariff_filing","20260217-5123","2026-02-17","2026-02-17","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.203: RP24-1035 Stipulation and Agreement Tariff Record Filing Correction to be effective 10/1/2025","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-006","commission_order_or_opinion","20260305-3001","2026-03-05","2026-03-05","Order/Opinion::Delegated Order","Letter order accepting Transcontinental Gas Pipe Line Company, LLC's 02/17/2026 filing of revised tariff records to correct the third party rate and the daily charge rate","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-005","refund_report","20260409-5001","2026-04-09","2026-04-09","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.501: Rate Case Settlement Refund Report - Docket No. RP24-1035","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-005","commission_order_or_opinion","20260428-3033","2026-04-28","2026-04-28","Order/Opinion::Delegated Order","Letter order accepting Transcontinental Gas Pipe Line Company, LLC's 04/09/2026 filing of its report of refunds detailing the refunds and surcharges made in compliance with Article IV of the settlement. Closes the refund obligation.","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035","refund_report","20260428-5001","2026-04-28","2026-04-28","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.501: Supplement to Docket No RP24-1035 Refund Report Filing Type : 670. NEWEST document in the docket - a supplement, NOT a superseding event.","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126","general_rate_case_application","20180831-5149","2018-08-31","2018-08-31","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.312: Transco RP18-XXX Rate Case Filing to be effective 10/1/2018 under RP18-1126 Filing Type : 690","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126","order_accepting_and_suspending","20180928-3036","2018-09-28","2018-09-28","Order/Opinion::Commission Order/Opinion","Order Accepting Tariff Records, Accepting and Suspending Tariff Records, Subject to Refund, and Establishing Hearing and Settlement Judge Procedures re Transcontinental Gas Pipe Line Company. Found ONLY on page 2 of the docket sweep - a two-page read would have missed it.","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126","compliance_or_effective_tariff_filing","20190228-5297","2019-02-28","2019-02-28","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.206: Motion to Place Suspended Tariff Records with No Change Into Effect in RP18-1126 to be effective 3/1/2019","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126-002","commission_order_or_opinion","20190318-3073","2019-03-18","2019-03-18","Order/Opinion::Delegated Order","Letter order accepting Transcontinental Gas Pipe Line Company, LLC's 02/28/2019 filing of a Motion to Place Compliance Tariff Records into Effect and suspending certain tariff records","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126-003","settlement_agreement","20191231-5092","2019-12-31","2019-12-31","Application/Petition/Request::Tariff Filing|Agreement/Understanding/Contract::Settlement Agreement (Stipulation and Agreement)","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 385.602: Transco - Offer of Settlement under RP18-1126 Filing Type : 1400. Rule 602 offer of settlement is the identifier for a gas rate-case settlement.","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126-000,RP18-1126-003","settlement_agreement","20200213-3036","2020-02-13","2020-02-13","ALJ Issuance::Certification of Settlement","Certification of Uncontested Settlement re Transcontinental Gas Pipe Line Company, LLC under RP18-1126 et al.","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126-003","settlement_approval_order","20200324-3028","2020-03-24","2020-03-24","Order/Opinion::Commission Order/Opinion","Order Approving Uncontested Settlement re Transcontinental Gas Pipe Line Company, LLC under RP18-1126","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126-004","compliance_or_effective_tariff_filing","20200423-5163","2020-04-23","2020-04-23","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.203: RP18-1126 Stipulation and Agreement Tariff Record Filing to be effective 3/1/2019","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126-004,RP18-1126-005","commission_order_or_opinion","20200519-3009","2020-05-19","2020-05-19","Order/Opinion::Delegated Order","Letter order accepting Transcontinental Gas Pipe Line Company, LLC's 04/23/2020, as supplemented on 04/30/2020, filing of revised tariff records to comply with the Commission's order","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126-004","refund_report","20200701-5177","2020-07-01","2020-07-01","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.501: Rate Case Settlement Refund Report - Docket No. RP18-1126","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP18-1126-001","commission_order_or_opinion","20190718-3033","2019-07-18","2019-07-18","Order/Opinion::Commission Order/Opinion","Order Denying Request for Rehearing re Transcontinental Gas Pipe Line Company, LLC under RP18-1126. Commissioner McNamee is not participating.","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP25-1189","complaint","20250929-5185","2025-09-29","2025-09-29","Application/Petition/Request::Complaints","Complaint of Baltimore Gas and Electric Company v. Transcontinental Gas Transmission Company, LLC under RP25-1189. An RP docket that is NOT a rate case - proceeding_type must be read from class/type, not from the docket prefix.","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP25-1189","commission_order_or_opinion","20260219-3056","2026-02-19","2026-02-19","Order/Opinion::Commission Order/Opinion","Order Denying Complaint re Baltimore Gas and Electric Company v. Transcontinental Gas Pipe Line Company, LLC under RP25-1189","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP25-1189-001","commission_order_or_opinion","20260420-3011","2026-04-20","2026-04-20","Notice::Formal Notice|Order/Opinion::Delegated Order","Notice of Denial of Rehearing by Operation of Law and Providing for Further Consideration re Baltimore Gas and Electric Company v. Transcontinental Gas Pipe Line Company","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP25-1189-001","commission_order_or_opinion","20260602-3027","2026-06-02","2026-06-02","Order/Opinion::Commission Order/Opinion","Order Addressing Arguments Raised on Rehearing re Baltimore Gas and Electric Company v. Transcontinental Gas Pipe Line Company, LLC under RP25-1189","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP25-1189-000,RP25-1189-001","appellate_review","20260810-0016","2026-08-07","2026-08-07","Pleading/Motion::Petition for Review","Petition for Review filed in the U.S. Court of Appeals for the District of Columbia Circuit of Baltimore Gas and Electric Company re Order Denying Complaint. NEWEST document in the docket and it changes no rate - the proceeding stage is 'denied, under judicial review', which cannot be inferred from recency.","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","(none found)","general_rate_case_application","","","","","NO NGA Section 4 general rate case exists for TGP in 2015-01-01 to 2026-09-07. Established affirmatively: a description search on '154.312' over that window returned 90 filings covering WBI, Southern Star, Dominion Cove Point, Maritimes & Northeast, Enable MRT, Great Lakes and Transco (twice) - TGP appears zero times. Not a null-result artefact; the query demonstrably works.","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP19-351-002","settlement_approval_order","20190524-3047","2019-05-24","2019-05-24","Order/Opinion::Commission Order/Opinion","Order Approving Settlement re Tennessee Gas Pipeline Company, L.L.C. under RP19-351. By the Commission. THIS IS THE OPERATIVE RATE AUTHORITY - seven years old and still cited by every subsequent compliance letter order.","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP19-351-002","settlement_agreement","20190404-5165","2019-04-04","2019-04-04","Application/Petition/Request::Tariff Filing","Tennessee Gas Pipeline Company, L.L.C. submits tariff filing per 154.203: 2019 Settlement RP19-351 to be effective 11/1/2019 Filing Type : 580","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP19-351-003","compliance_or_effective_tariff_filing","20190912-5094","2019-09-12","2019-09-12","Application/Petition/Request::Tariff Filing","Tennessee Gas Pipeline Company, L.L.C. submits tariff filing per 154.203: 2019 Settlement Compliance V1 to be effective 11/1/2019 Filing Type : 580","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP19-351-003","commission_order_or_opinion","20191018-3054","2019-10-18","2019-10-18","Order/Opinion::Delegated Order","Letter order accepting Tennessee Gas Pipeline Company, L.L.C.'s 09/12/2019 filing of revised tariff records reducing its rates to comply with Commission's 05/24/2019 order","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP19-351-004","compliance_or_effective_tariff_filing","20200923-5040","2020-09-23","2020-09-23","Application/Petition/Request::Tariff Filing","Tennessee Gas Pipeline Company, L.L.C. submits tariff filing per 154.203: 2020 Settlement Rates to be effective 11/1/2020 Filing Type : 580; accepted by letter order 20201027-3054 (2020-10-27) citing the 05/24/2019 order","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP19-351-005","compliance_or_effective_tariff_filing","20210915-5025","2021-09-15","2021-09-15","Application/Petition/Request::Tariff Filing","Tennessee Gas Pipeline Company, L.L.C. submits tariff filing per 154.203: 2021 Settlement Rates Docket No. RP19-351-005 to be effective 11/1/2021; accepted by letter order 20211021-3084 (2021-10-21)","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP19-351-006","compliance_or_effective_tariff_filing","20220909-5034","2022-09-09","2022-09-09","Application/Petition/Request::Tariff Filing","Tennessee Gas Pipeline Company, L.L.C. submits tariff filing per 154.203: 2022 Settlement Rates Docket No. RP19-351-006 to be effective 11/1/2022; accepted by letter order 20221006-3016 (2022-10-06)","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP19-351-007","compliance_or_effective_tariff_filing","20231101-5073","2023-11-01","2023-11-01","Application/Petition/Request::Tariff Filing","Tennessee Gas Pipeline Company, L.L.C. submits tariff filing per 154.203: Cost-Revenue Study Docket No. RP19-351-___ Filing Type : 580. Newest substantive filing in RP19-351; a cost-revenue study is a settlement obligation, not a new rate.","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP24-333-001,RP19-351-007","settlement_approval_order","20240530-3079","2024-05-30","2024-05-30","Order/Opinion::Commission Order/Opinion","Letter order approving Tennessee Gas Pipeline Company, L.L.C.'s 03/20/2024 filing of a stipulation and agreement pursuant to Rule 207 of the Commission's Rules of Practice. A LATER settlement layered onto RP19-351 - the 2019 order is not superseded, it is supplemented.","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP23-863","tariff_filing_non_rate","20230630-5049","2023-06-30","2023-06-30","Application/Petition/Request::Tariff Filing","Tennessee Gas Pipeline Company, L.L.C. submits tariff filing per 154.204: TGP Powerserve to be effective 8/1/2023 under RP23-863. Filing Type : 570. A service-specific tariff change, not a rate case.","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP23-863-001","tariff_filing_non_rate","20230630-5243","2023-06-30","2023-06-30","Application/Petition/Request::Tariff Filing","Tennessee Gas Pipeline Company, L.L.C. submits tariff filing per 154.205(b): Amendment TGP Powerserve to be effective 10/1/2023 Filing Type : 600","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP23-863-000,CP23-508-000,RP23-863-001","commission_order_or_opinion","20230929-3138","2023-09-29","2023-09-29","Order/Opinion::Commission Order/Opinion","Order Issuing Certificates and Accepting Tariff Records re Tennessee Gas Pipeline Company, L.L.C. et al. under CP23-508 et al. SHARED ORDER spanning a certificate docket and a rate docket - one order, two regimes.","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP23-863-002","compliance_or_effective_tariff_filing","20231003-5155","2023-10-03","2023-10-03","Application/Petition/Request::Tariff Filing","Tennessee Gas Pipeline Company, L.L.C. submits tariff filing per 154.203: Revised TGP Powerserve Compliance to be effective 10/1/2023 Filing Type : 580","sourced_legal_date","verified"
"Tennessee Gas Pipeline Company, L.L.C.","C000662","RP23-863-002","commission_order_or_opinion","20231027-3039","2023-10-27","2023-10-27","Order/Opinion::Delegated Order","Letter order accepting Tennessee Gas Pipeline Company, L.L.C.'s October 3, 2023 filing of a tariff record in compliance with the Commission's order issued on September 29, 2023","sourced_legal_date","verified"
"Magellan Pipeline Company, L.P.","C001049","IS24-810","general_rate_case_application","20240919-5033","2024-09-19","2024-09-19","Application/Petition/Request::Tariff Filing","Magellan Pipeline Company, L.P. submits tariff filing per 342.3: MPL Oil Pipeline 2024 Reindex to be effective 10/1/2024 under IS24-810. Filing Type : 860. Oil pipeline INDEXED rate change under ICA - the oil-side analogue of a gas rate filing. Attachments include the full Clean Tariff PDF, ceiling worksheets and the FERC-generated tariff record, all public.","sourced_legal_date","verified"
"Magellan Pipeline Company, L.P.","C001049","IS24-804,IS24-805,IS24-806,IS24-810,IS24-816","commission_order_or_opinion","20241018-3061","2024-10-18","2024-10-18","Order/Opinion::Commission Order/Opinion","Order Accepting Tariffs re Calnev Pipe Line LLC et al. under IS24-804. SHARED ORDER covering at least six IS dockets for DIFFERENT companies - one order, many assets. Do not attribute the whole order to Magellan.","sourced_legal_date","verified"
"Magellan Pipeline Company, L.P.","C001049","IS24-810","order_accepting_and_suspending","","","","","NO suspension order located in IS24-810. Oil pipeline index filings are typically accepted outright rather than accepted-and-suspended; the only order in the docket is the 10/18/2024 acceptance. No refund clock is evidenced.","inferred_from_metadata","unresolved"
"Magellan Pipeline Company, L.P.","C001049","IS26-546","general_rate_case_application","20260630-5221","2026-06-30","2026-06-30","Application/Petition/Request::Tariff Filing","Magellan Pipeline Company, L.P. submits tariff filing per 342.2 or 342.4: MPL Oil Pipeline 184.39.0 to be effective 8/1/2026 under IS26-546. Filing Type : 830. CURRENT proceeding. 342.2/342.4 is cost-of-service or market-based, a different basis from the 342.3 index route.","sourced_legal_date","verified"
"Magellan Pipeline Company, L.P.","C001049","IS26-546-001","tariff_filing_non_rate","20260716-5141","2026-07-16","2026-07-16","Application/Petition/Request::Tariff Filing","Magellan Pipeline Company, L.P. submits tariff filing per 341.4: MPL Oil Pipeline 184.39.1 Amendment to be effective 8/1/2026 Filing Type : 1230","sourced_legal_date","verified"
"Magellan Pipeline Company, L.P.","C001049","IS26-546","commission_order_or_opinion","","","","","No order in IS26-546 as of 2026-09-07; the docket contains only the filing and its amendment. Effectiveness on 8/1/2026 is stated by the filer, not confirmed by an order - the stage is inferred, not adjudicated.","inferred_from_metadata","unresolved"
"Magellan Pipeline Company, L.P.","C001049","(none found)","or_docket_complaint","","","","","No OR docket located. A description search for 'v. Magellan' returned 0 hits and page 0 of 574 hits for 'Magellan Pipeline' contained only IS, RM and AC dockets. NOT conclusive: an ICA complaint is docketed under the complainant's name and its description may never contain 'Magellan'.","inferred_from_metadata","unresolved"
"Kinder Morgan Tejas Pipeline LLC","C000434","PR18-59","pr_ngpa_311_rate_petition","20180615-5106","2018-06-15","2018-06-15","Application/Petition/Request::Tariff Filing","Kinder Morgan Tejas Pipeline LLC submits tariff filing per 284.123(b)(2): Petition for Approval of Market-Based Rates to be effective 10/1/2018 under PR18-59. Filing Type : 760. THE NGPA Section 311 rate route for an intrastate pipeline.","sourced_legal_date","verified"
"Kinder Morgan Tejas Pipeline LLC","C000434","PR18-59","pr_ngpa_311_rate_petition","20180619-5074","2018-06-19","2018-06-19","Application/Petition/Request::Tariff Filing","Kinder Morgan Tejas Pipeline LLC submits tariff filing per 284.123(b)(2),(: Errata to Petition of Approval of Market-Based Rates","sourced_legal_date","verified"
"Kinder Morgan Tejas Pipeline LLC","C000434","PR18-59-001","compliance_or_effective_tariff_filing","20181116-5084","2018-11-16","2018-11-16","Application/Petition/Request::Tariff Filing","Kinder Morgan Tejas Pipeline LLC submits tariff filing per 284.123(b),(e)/: Data Response or Supplement to the record Filing Type : 780. Last substantive document in the docket.","sourced_legal_date","verified"
"Kinder Morgan Tejas Pipeline LLC","C000434","PR18-59","commission_order_or_opinion","","","","","NO Commission order and NO letter order exists in PR18-59. The docket holds 10 documents: the petition, an errata, two Combined Notices, three interventions (Entergy, Calpine, TrailStone), the data response, and a 2021 service-list motion. Whether the market-based rates were approved, and by what instrument, cannot be established from eLibrary.","inferred_from_metadata","unresolved"
"Kinder Morgan Tejas Pipeline LLC","C000434","(docket-less)","periodic_report","20260826-5076","2026-08-26","2026-08-26","Report/Form::Form 549D-Quarterly Transportation & Storage Report for Intrastate Natural Gas and Hinshaw Pipelines","Kinder Morgan Tejas Pipeline LLC submits Form 549D for Q2 for 2026. NO DOCKET NUMBER. Tejas's entire recent FERC footprint is docket-less periodic reports - a docket-driven adapter will find nothing for this entity.","sourced_legal_date","verified"
"Kinder Morgan Tejas Pipeline LLC","C000434","(docket-less)","periodic_report","20260429-5068","2026-04-29","2026-04-29","Report/Form::Form 552 - Annual Report of Natural Gas Transactions","Form 552 of Kinder Morgan Tejas Pipeline, LLC for the year ending 2025. Docket-less.","sourced_legal_date","verified"
"Kinder Morgan Tejas Pipeline LLC","C000434","(none found)","general_rate_case_application","","","","","No NGA Section 4 general rate case, and none is expected: Tejas is an intrastate Texas pipeline operating under NGPA Section 311, so its FERC rate route is a PR docket, not RP. Its only PR proceedings on record are PR18-59 (2018) and PR91-1 (Tejas Pipeline Co, 1993).","sourced_legal_date","verified"
