Asset regime,Metric/source,Raw source currently retrieved?,Stored in database?,Correct canonical metric exists?,Currently displayed?,Current problem,Target treatment,Work required,Monday priority
Liquids,Net carrier operating income + operating expenses (p.114),PARTIAL (instances on disk; concepts not extracted),NO,NO,NO,Liquids margin cannot be computed from the store,HEADLINE,Add to extraction + registry,Phase 2
Liquids,Form 6-Q (quarterly returns),NO,NO,NO,NO,Quarterly liquids layer entirely absent,HEADLINE,Ingest 6-Q for the 28 ICA filers; YTD-primary period rules,Phase 2
Liquids,Q4 / quarterly derivations (annual - Q3 YTD; YTD differencing),NO,NO,NO,NO,No derivation layer; methodology already validated exactly (Magellan/Grand Prix identity $0.00),HEADLINE,Derivations with lineage + identity checks + revision-aware recompute,Phase 2
Liquids,Barrels received / delivered (annual),YES,YES (NumberOfBarrels* concepts),PARTIAL,YES,Annual only; no quarterly series; Grand Prix received=delivered quirk unflagged,HEADLINE,6-Q differencing + quirk flag,Phase 2
Liquids,Barrel-miles,YES,YES (NumberOfBarrelMiles* stored),PARTIAL,NO,Stored but not displayed; whole-entity vs interstate versions not distinguished as metrics,CHART,Registry rules for both scopes; annual chart,Phase 2
Liquids,Page 700 set (rate base / trended RB / cost of service / return components / WACC / interstate revenue+throughput / depreciation),PARTIAL (instances on disk carry the concepts; extraction whitelist omits all of them - zero Page 700 facts in store),NO,NO,NO,The entire liquids regulatory-economics layer - the regime's differentiating content - is absent from the store,HEADLINE (ratio + return screens) + DRILL_DOWN,Add the Page 700 concept set to extraction; scope labels (interstate-only; carrier-reported); precision preservation,Phase 2
Liquids,Gross additions to carrier property,PARTIAL (in instances; not extracted),NO,NO,NO,The defensible capital-additions measure is missing,DRILL_DOWN,Extract; exact-label rule (never 'capex'),Phase 2
Liquids,Trunk miles + pipeline start/end points,YES,YES,PARTIAL,YES (segments),Fine as detail; no product-scope labelling,DRILL_DOWN,Registry labels,Phase 2
Liquids,Oil Pipeline Index (current index year / multiplier),NO,NO,NO,NO,Not retrieved; annual FERC-published index context for tariff events,DRILL_DOWN (regulatory context) + EVENT_ALERT on the annual change,Curate the annual index value with citation; never applied to individual pipelines as an assumed increase,Phase 2
Liquids,Tariff / complaint / rate proceedings (IS/OR dockets),YES,YES,PARTIAL,YES (rate-cases view),Liquids-specific staging not distinguished from gas RP staging,EVENT_ALERT,Prefix-aware stage vocabulary,Phase 2
Liquids,Form 73 (depreciation/service-life investigation),NOT ESTABLISHED,NO,NO,NO,No corpus instances; automated route (documentType) unverified this pass,EVENT_ALERT (if route exists),Verify documentType in closed vocabulary; else rarity tier covers it,Phase 2 (investigate first)
Liquids,FERC audit / enforcement findings,PARTIAL (arrive as rare documentTypes; surfaced by the rarity tier),YES (metadata),NOT APPLICABLE,PARTIAL,No explicit event category; often entity-level rather than pipeline-level,EVENT_ALERT,Event category + entity-scope label,Phase 2
Intrastate §311,Form 549D datasets 28/29,NO (production store: dataset_snapshots empty; proof-of-concept script + full methodology exist),NO,NO,NO,The entire regime's data layer is pre-production; methodology is final (rate semantics corrected; revenue ambiguity quantified; coverage rules set),HEADLINE,Productionise ingestion (data.ferc.gov paging); resubmission lineage via dataset 28,Phase 3
Intrastate §311,Quarterly billed usage,NO,NO,NO,NO,Absent until 549D ships,HEADLINE,Unit normalisation via BU descriptors,Phase 3
Intrastate §311,Annual §311 revenue + quality gate,NO,NO,NO,NO,Absent; the divergence gate and coverage badge are specified and must ship with the metric - never after it,HEADLINE (gated),Row-sum + candidate-adjusted + divergence + usage-weighted coverage; withhold >0.5%,Phase 3
Intrastate §311,Concentration / firm share / affiliate share / contract expiry,NO,NO,NO,NO,Absent until 549D ships,HEADLINE,Derivations on the filer-local identifier,Phase 3
Intrastate §311,Reported rates + descriptors,NO,NO,NO,NO,Store-only per methodology; 0/135 per-day reconciliation,GATED,Store with descriptors; never surface until normalisation proven,Phase 3
Intrastate §311,Receipt/delivery point cross-reference,NO,NO,NO,NO,Proprietary numeric codes with placeholder text; decoding join unproven,GATED,Time-boxed retest after core build; never hand-maintain names,Deferred
Intrastate §311,PR-docket rate elections,YES,YES,PARTIAL,YES (rate-cases view),Not joined to 549D rate-schedule rows (which do not exist yet),DRILL_DOWN + EVENT_ALERT,Join once 549D ships,Phase 3
LNG,Authorised capacities (send-out / storage),YES (hand-curated from orders; all 9 post-COD LNG assets carry a cited capacity JSON),YES (assets.capacity),PARTIAL (single current value; no amendment history),YES,No historical amendments; no per-train granularity; curation process undocumented,HEADLINE,Curation register with order/page citations + amendment history,Phase 4
LNG,In-service facility status (trains / berths / tanks),PARTIAL (filings metadata only),NO,NO,PARTIAL (docket timeline in asset detail),No structured facility-status table; requests not distinguished from approvals in display,HEADLINE (status table),Curated facility table from letter orders with request/approval distinction,Phase 4
LNG,Semi-annual operational report tracking,PARTIAL (26 '284.126 (g)' filings in corpus; Sabine Pass series stored only to 2019-02-15),YES (metadata),NO,NO,Sweep coverage of jointly-filed reports is incomplete and no expected-cadence model exists - the store's gap is an ingestion gap that must never present as a FERC gap,HEADLINE (freshness) + EVENT_ALERT (missing report),Docket-led backfill of the report series; cadence model per asset; SOURCE_NOT_RETRIEVED state until then,Phase 4
LNG,Inspections and follow-up,PARTIAL (metadata via sweep),YES (metadata),NO,PARTIAL (appears in filings lists),No inspection timeline; outcomes unparsed; open conditions untracked,EVENT_ALERT + status card,Curated outcome register; open-conditions list,Phase 4
LNG,"Operating / financial data (throughput, cargoes, revenue, costs, plant, rate base, utilisation, boil-off, inventory)",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,FERC publishes none of it for these entities (8 of 9 LNG asset rows file no eCollection form),UNAVAILABLE_FROM_FERC,Explicit gap panel on the LNG template; no empty charts,Phase 4 (panel ships with template)
All regimes,Provenance layer (source-fact identity / taxonomy labels / source URLs / filing links on facts),NO,NO,NO,NO,form_filings.accession_number is inserted NULL; facts carry no fact-level identity or label; no drill-through to the source filing exists anywhere in the operating views,QA_PROVENANCE_ONLY,Generalise the reference package's source_fact_id + label linkbase + envelope identity (source_system + source_native_id),Phase 0
All regimes,Canonical filing/version + restatement handling,PARTIAL (is_superseded = latest submittedOn per cid/form/year/period - correct rule; no restatement events; 15 duplicate combos in store),YES,PARTIAL,NO (revisions invisible in UI),Northwest Pipeline's 2026-08-19 restatements of FY2023/FY2024 would silently replace displayed values with no marker,QA_PROVENANCE_ONLY + EVENT_ALERT (revision events),Restatement detection + REVISED state + feed events,Phase 0
All regimes,Migrated-history flagging,YES (status stored on form_filings),YES,NO,NO (no UI marker; trends charts blend migrated and native silently),24116 of 38041 index rows are Migrated; a pre-2021 chart segment is FERC's reconstruction and must be visibly marked,QA_PROVENANCE_ONLY,MIGRATED_HISTORY_LIMITATION state + chart segmentation,Phase 0
All regimes,Missing-data states,NO,NO,NO,NO,Blanks currently render as absent rows/points with no explanation; blank-vs-zero discipline unenforced in display,QA_PROVENANCE_ONLY,Implement the 12-state dictionary; every empty cell carries a state,Phase 0
All regimes,Asset mapping classes (1:1 / 1:N / N:1 / JV / subset / no-filer),PARTIAL (assets + entity_interests tables exist; no mapping_class / asset_level_permitted columns),YES,PARTIAL,PARTIAL (interest display exists),5 filing entities map to 2 asset rows each; nothing prevents an entity-level figure being labelled asset-level,QA_PROVENANCE_ONLY,Add mapping-class columns + labelling guard per methodology §F,Phase 0
All regimes,Common output envelope + operating event feed,NO,NO,NO,NO,"materialFilings() covers eLibrary filings only; no structured-form events (results, revisions, QA exceptions, missing filings); no shared envelope with the Projects side",EVENT_ALERT,Envelope fields + operating-event generation per the event-filter spec,Phase 0 (envelope) / Phase 5 (feed)
Interstate gas,Universal physical/design capacity per pipeline,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,Form 567 flow diagram is CEII; 549B Capacity Report is filer-defined,UNAVAILABLE_FROM_FERC,Gap statement on template; four capacity measures kept permanently distinct,n/a
Interstate gas,Structured annual rate-base / return schedule (Form 2 equivalent of Page 700),NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,No such Form 2 schedule exists; the layer lives in rate-case documents,UNAVAILABLE_FROM_FERC,Gap statement; rate-case clock carries the regulatory-earnings question for gas,n/a
Interstate gas,Comparable subscription-to-capacity ratio,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,Standardised numerator (IOC MDQ) but filer-defined denominator,UNAVAILABLE_FROM_FERC,Gap statement; no portable ratio built,n/a
Liquids,Quarterly regulatory economics (rate base / CoS / return / WACC),NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,Page 700 is annual only; 6-Q carries none of the concepts,UNAVAILABLE_FROM_FERC,Annual-only labelling on the Page 700 section,n/a
Liquids,Quarterly barrel-miles and mileage,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,No 6-Q equivalent exists,UNAVAILABLE_FROM_FERC,Annual-only labelling,n/a
Intrastate §311,Whole-business volume / revenue / capacity,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,549D covers §311/Hinshaw transactions only; state-jurisdictional business is outside FERC,UNAVAILABLE_FROM_FERC,Mandatory scope banner + explicit gap rows on template,n/a
LNG,Structured operating or financial form data,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,No structured form exists for the LNG entities in scope,UNAVAILABLE_FROM_FERC,Explicit gap panel,n/a
Intrastate §311,Automatically decoded receipt/delivery point names,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,Cross-reference join not yet proven as complete,UNAVAILABLE_FROM_FERC (pending the gated retest),Time-boxed retest,Deferred
Gas / liquids,"Normalised, legally operative tariff rates in structured form",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,Rate sheets need document parsing + order reconciliation; viewer non-conclusive,UNAVAILABLE_FROM_FERC (as structured data),Gap statement; eTariff stays gated,n/a
All regimes (non-1:1 mappings),Asset-level economics where the mapping is not one-to-one,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,FERC's grain is the legal filing entity; no published split exists,UNAVAILABLE_FROM_FERC,ENTITY_ASSET_SCOPE_CONFLICT state + filing-entity-level display,n/a
