Metric ID,Asset regime,Investor question,Metric,FERC source,Frequency,Grain/scope,Target treatment,Primary or supporting?,Reason,Redundant with,Display condition,Missing-data state,Source drill-through,Validation requirement
IG-A-11,Interstate gas,Capital and physical profile,Certificated storage capacity / maximum-day withdrawal,Form 2 p.512-513,Annual,System,DRILL_DOWN,Supporting (promotes to storage-module HEADLINE where storage is material),Storage scale and demonstrated peak withdrawal,Distinct by design from 549B storage deliverability and IOC storage MDQ - the three are never combined,In the storage module these two lead; unit note attached on migrated years (pure/unitless tag; rendered schedule supplies Dth),MIGRATED_HISTORY_LIMITATION unit note on pre-2021,Structured raw metric,Unit note required where filed unit is pure/unitless
IG-A-12,Interstate gas,Activity and use,Single-day and three-day peak deliveries (with dates),Form 2 p.518,Annual observation,"System, transmission deliveries excluding deliveries to storage",DRILL_DOWN + EVENT_ALERT,Supporting (the real winter-demand observation),Actual peak-day demand; the season overlaps year-end so the date may legitimately fall in the following January,None,Selector must take the peak-axis row with NO delivered-to axis member (TGP files negative delivered-to adjustment members); implausible dates flagged never repaired (Transco FY2020/FY2023 precedent),AMBIGUOUS on review-flagged dates; MIGRATED_HISTORY_LIMITATION pre-2021 (different concept name),Structured raw metric + peak-date review table,Members sum to the undimensioned total; date-window check against the p.518 heating-season instruction
IG-A-13,Interstate gas,Capital and physical profile,Auxiliary peaking facilities,Form 2 p.519,Annual,Per facility,DRILL_DOWN,Supporting,Peaking capability context; facility-level only - the sum is a convenience not a filed system capacity,None,Facility rows listed; any sum labelled derived (facility_sum) with facility count,FILER_BLANK / MIGRATED_HISTORY_LIMITATION (Transco FY2016 capacity facts genuinely absent),Structured raw + derived metric (facility_sum lineage),Derived sum flagged; never presented as filed system capacity
IG-A-14,Interstate gas,Commercial durability,Negotiated- and discounted-rate service volumes,Form 2 p.313,Annual,Filing entity,DRILL_DOWN,Supporting,Commercial-mix indicator; volumes only - says nothing about rate levels,Complements IOC-06 (subscribed-MDQ negotiated share; different measure and cadence),Never labelled pricing power; unit note on migrated years,MIGRATED_HISTORY_LIMITATION unit note pre-2021,Structured raw metric,Volume-only wording enforced
IG-Q-01,Interstate gas,Reported earnings,Gas operating revenues (quarterly),Form 3-Q; Q4 from Form 2 monthly contexts,"Quarterly, all four quarters",Filing entity,HEADLINE + CHART,Primary,Best timely measure of the reported business; the Transco reference proves 40/40 quarters with 7 years exact / 3 within $1,None,"Quarter, YTD, monthly, prior-year and annual contexts kept strictly separate; Q1 rule: one 85-95d fact = quarter and YTD, emit once",SOURCE_NOT_RETRIEVED until Form 3-Q ingestion ships; then NOT_YET_FILED per period,Structured raw metric (Q1-Q3) / derived metric with monthly-context lineage (Q4),Four-quarter sum = filed annual within $100/0.001%
IG-Q-02,Interstate gas,Reported earnings,Utility operating expenses (quarterly),Form 3-Q; Q4 = annual minus Q1-Q3,"Quarterly, all four quarters",Filing entity,DRILL_DOWN + CHART,Supporting (margin component),Explains operating-margin movement; input to IG-Q-03's margin,None,Chart component of the earnings chart; not presented as company EBITDA cost,SOURCE_NOT_RETRIEVED until 3-Q ingestion; DERIVED for Q4,Structured raw / derived metric (q4_minus_quarters lineage),Identity rev - exp = NUOI within $1 all quarters (proven 40/40 on Transco)
IG-Q-03,Interstate gas,Reported earnings,Net utility operating income (and FERC operating margin),Form 3-Q; Q4 = annual minus Q1-Q3,"Quarterly, all four quarters",Filing entity,HEADLINE + CHART,Primary,Stronger performance measure than revenue alone; margin = NUOI / revenues on identical scope,None,Margin computed only from same-scope pairs; Q4 derived marker visible,SOURCE_NOT_RETRIEVED until 3-Q ingestion; DERIVED for Q4,Derived metric drill-through (formula + all inputs + input version status),Identity within $1; four-quarter sum reconciles to annual
IG-Q-04,Interstate gas,Activity and use,Total volume of throughput (quarterly),Form 3-Q; Q4 from Form 2 p.521-M1,"Quarterly, all four quarters",System,HEADLINE + CHART,Primary,The only quarterly volume series FERC publishes for gas,IG-A-04 is its annual cross-check,Q4 uses TotalVolumeOfThroughput only; backhaul_present compatibility flag gates the bridge; a filed-blank total stays missing (never substituted),SOURCE_NOT_RETRIEVED until 3-Q ingestion; FILER_BLANK where the filed line is blank,Structured raw metric,Total = forwardhaul + backhaul (holds for all 22 filers tested); per-filer compatibility flag
IG-Q-05,Interstate gas,Capital and physical profile,Gas plant in service (quarter-end balance),Form 3-Q / Form 2,"Quarterly, point-in-time",Filing entity,DRILL_DOWN + CHART,Supporting,Balance-sheet trend through the year; decreases are legitimate,IG-A-06 is the year-end point of the same series,Labelled 'quarter-end plant balance'; never capex,SOURCE_NOT_RETRIEVED until 3-Q ingestion,Structured raw metric,Continuity check (plus/minus 25% warn; never auto-error)
IOC-01,Interstate gas,Commercial durability,Firm transportation subscription (MDQ),Form 549B IOC D records,Quarterly point-in-time snapshot,Contract -> system,HEADLINE + CHART,Primary,The size of the firm contract book - the central commercial-durability measure,None,"'As of' date = header field [5] (quarter start), never the report date; labelled contractual quantity, never physical capacity; revised files ('R' in field [4]) restate the snapshot",SOURCE_NOT_RETRIEVED until IOC attachment ingestion ships,Structured raw metric (eLibrary attachment payload; accession + TAB file),P-record sum = exactly 2x D-record total; MDQ change vs prior snapshot separates real change from revision
IOC-02,Interstate gas,Commercial durability,Storage subscription (MDQ),Form 549B IOC D records,Point-in-time,Contract,DRILL_DOWN,Supporting (promotes to storage-module HEADLINE),Contracted storage book,Never added to transportation MDQ,Storage module leads with it where storage is material,SOURCE_NOT_RETRIEVED until IOC ingestion,Structured raw metric,Kept separate from transportation MDQ in every aggregate
IOC-03,Interstate gas,Commercial durability,Distinct shipper count,Form 549B IOC shipper identifier,Point-in-time,Counterparty,EXCLUDE,Excluded from display (retained in data),Redundant with top-5 concentration for the durability question and unstable across identifier normalisation; counting by rate schedule or contract number counts services not counterparties,IOC-05 answers the question better,Not displayed; retained in the contract-book data for computing IOC-05,n/a (data layer only),Structured raw metric (data layer),Count only on the filer-local shipper identifier with documented name-normalisation fallback
IOC-04,Interstate gas,Sources and quality,Contract identity,Form 549B IOC D records,Point-in-time,Contract,QA_PROVENANCE_ONLY,Supporting (the basis of every contract-level metric),Composite key filer + shipper + rate schedule + contract number; not itself a display metric,None,Key visible in contract drill-down rows only,SOURCE_NOT_RETRIEVED until IOC ingestion,Structured raw metric,All four key components required; a contract can carry more than one rate schedule
IOC-05,Interstate gas,Commercial durability,Top-3 / top-5 shipper concentration,Form 549B IOC,Point-in-time,System,HEADLINE,Primary,Counterparty concentration risk in one number; more informative than raw counts,Supersedes IOC-03 for display,Labelled share of subscribed MDQ - not of revenue,SOURCE_NOT_RETRIEVED until IOC ingestion,Derived metric (share computation over D records),Shares computed on the contract key; sum of shares <= 100%
IOC-06,Interstate gas,Rates and regulation,Negotiated-rate exposure,Form 549B IOC negotiated flag,Point-in-time,Contract -> system,DRILL_DOWN,Supporting,Share of the firm book outside recourse rates; exposure only - negotiated rates may sit above or below recourse,IG-A-14 gives the annual volume-side view,Never labelled pricing power,SOURCE_NOT_RETRIEVED until IOC ingestion,Derived metric,Flag parsed from field [9]; share of MDQ basis stated
IOC-07,Interstate gas,Commercial durability,Affiliate exposure,Form 549B IOC affiliate flag,Point-in-time,Contract -> system,DRILL_DOWN,Supporting,How much of the book is genuinely third-party,None,Share of subscribed MDQ basis stated,SOURCE_NOT_RETRIEVED until IOC ingestion,Derived metric,Flag from D-record field [3]
IOC-08,Interstate gas,Commercial durability,Contract roll-off by primary-term expiry,Form 549B IOC contract-end field,Point-in-time,Contract,HEADLINE + CHART,Primary,Forward recontracting exposure; MDQ ending within 0-2 years is the sixth headline card,None,Buckets mutually exclusive and measured from the snapshot date (field [5]); evergreen/rollover continuation shown separately (IOC-09),SOURCE_NOT_RETRIEVED until IOC ingestion,Derived metric,100% of MDQ bucketed exactly once
IOC-09,Interstate gas,Commercial durability,Contract continuation state,Form 549B IOC field [8] 'Days Until Next Possible Contract Expiration',Point-in-time,Contract,DRILL_DOWN,Supporting (qualifies IOC-08),Distinguishes primary-term-expired-but-continuing (evergreen/rollover) from genuinely ending contracts,None,Provenance flag shown: definition audit-sourced; official format spec not independently retrieved (ferc.gov challenge); never described as a notice period,SOURCE_NOT_RETRIEVED until IOC ingestion,Structured raw metric with provenance flag,Populated on exactly the past-primary-term contract set (346/346 verified both ways)
IOC-10,Interstate gas,Activity and use,Zone-level MDQ,Form 549B IOC P records,Point-in-time,Point / zone,DRILL_DOWN,Supporting,Where contracted quantity sits geographically,None,Receipt side (S8) only - each side carries the full contract MDQ so summing both double-counts,SOURCE_NOT_RETRIEVED until IOC ingestion,Structured raw metric,S8 receipt total within 0.2% of D-record total (Transco 0.14% verified)
CR-01,Interstate gas,Capital and physical profile,Estimated peak-day deliverability,549B Capacity Report,Annual,"System, by rate schedule",GATED,Gated,The only public peak-day capacity figure but filer-defined (directional / design-day / effectively contracted volume) - not a comparable denominator; document parsing not yet built,None,Displayed per filer only after that filer's definition is classified; never a fleet comparison,SOURCE_NOT_RETRIEVED (PDF parsing not built) then GATED per filer,eLibrary document drill-through (accession + attachment),Filer definition classified and stored before any display
CR-02,Interstate gas,Capital and physical profile,Storage deliverability / working gas,549B Capacity Report,Annual,System,GATED,Gated,Storage contribution to peak capability; units and definitions vary between filers,Kept distinct from IG-A-11 and IOC-02 (three different storage measures),Same gate as CR-01,SOURCE_NOT_RETRIEVED then GATED,eLibrary document drill-through,Unit and definition normalisation per filer before display
CR-03,Interstate gas,Activity and use,Peak-day utilisation,Form 2 p.518 / 549B Capacity Report,Annual,System,GATED,Gated derived,Peak physical tightness - valid only where the filer's denominator is scope-compatible with the p.518 numerator; never a fleet-wide metric,None,Withheld unless the per-filer compatibility flag is set,GATED,Derived metric (both inputs cited),Numerator/denominator scope compatibility asserted per filer
CR-04,Interstate gas,Rates and regulation,Rate-case stage and clock,eLibrary docket metadata,Event-driven,Filing entity,HEADLINE + EVENT_ALERT,Primary (the persistent regulatory banner),When rates may reset - stage inference over RP (and PR/IS/OR) dockets is already live in production,None,Banner shows current stage; reset clock keyed to the rate-effective date never the approval date,NOT_APPLICABLE where no docket exists,eLibrary event drill-through (docket + accessions),Stage inference validated against the known rate-case reproduction test in the methodology (filed / suspension / settlement / effective / moratorium dates)
CR-05,Interstate gas,Rates and regulation,Subject-to-refund window,eLibrary suspension/settlement orders,Event-driven,Filing entity,EVENT_ALERT,Primary (alert + banner element while active),Quantifies which collections are exposed to refund; applies to the incremental suspended amounts not the whole revenue base,None,Recorded as dated history never a bare current-state boolean,NOT_APPLICABLE where no active window,eLibrary event drill-through,Window start = suspension effective date; end = settled-rate effective date
CR-06,Interstate gas,Rates and regulation,Settled-rate effective date,Settlement / Commission order,Event-driven,Filing entity,DRILL_DOWN,Supporting (feeds the CR-04 banner),The correct start of the rate clock,Part of CR-04's display,Effective date never approval date,NOT_APPLICABLE,eLibrary event drill-through,Date sourced from the order text/metadata with citation
CR-07,Interstate gas,Rates and regulation,Rate moratorium and next-case deadline,Settlement documents,Event-driven,Filing entity,DRILL_DOWN,Supporting (feeds the CR-04 banner),Forward visibility on when rates can and must next reset,Part of CR-04's display,Sourced from settlement terms; hand-curated with citation until settlement parsing exists,GATED where the settlement PDF has not been read,eLibrary event drill-through,Dates cited to the settlement document page
CR-08,Interstate gas,Rates and regulation,Settlement economic terms,Settlement documents,Event-driven,Filing entity,GATED,Gated,Return assumptions inside settlements are material but sit in PDFs and must be labelled to their exact stated use - never a general allowed return,None,Displayed only as hand-curated cited values with the stated-use label,GATED,eLibrary document drill-through (page/paragraph citation),Exact stated-use wording preserved
CR-09,Interstate gas,Rates and regulation,Effective tariff records,eTariff,Event-driven,Tariff record,GATED,Gated,Record retrieval is proven but numeric rate sheets are unparsed and FERC's viewer disclaims conclusiveness,None,Record titles/effective dates may list in drill-down once retrieval ships; numeric rates withheld,SOURCE_NOT_RETRIEVED then GATED,eTariff record drill-through,Operative-rate status reconciled with Commission orders before any numeric display
LQ-A-01,Liquids,Reported earnings,Operating revenues (annual),Form 6 p.114,Annual,"Filing entity, whole entity",HEADLINE + CHART,Primary (annual anchor of LQ-Q-01),Top line; never compared with Page 700 interstate figures,None - same series as LQ-Q-01,Whole-entity scope label permanent,NOT_YET_FILED,Structured raw metric,Q1+Q2+Q3(YTD)+derived Q4 = annual within tolerance
LQ-A-02,Liquids,Reported earnings,Trunk / delivery / allowance-oil / incidental revenue,Form 6 p.300,Annual,Filing entity,DRILL_DOWN,Supporting,Revenue mix beneath the headline,Subsumed by LQ-A-01 for headline purposes,Components shown as a breakdown of the whole-entity total,NOT_YET_FILED,Structured raw metric,Components reconcile to the p.114 total
LQ-A-03,Liquids,Reported earnings,Operating expenses (annual),Form 6 p.114,Annual,"Filing entity, whole entity",DRILL_DOWN + CHART,Supporting (margin component),Operating ratio driver; FERC expense definitions differ from GAAP,None,Kept strictly separate from Page 700 cost of service,NOT_YET_FILED,Structured raw metric,Identity with LQ-A-04
LQ-A-04,Liquids,Reported earnings,Net carrier operating income (annual),Form 6 p.114,Annual,"Filing entity, whole entity",HEADLINE + CHART,Primary,Core operating profitability - the cleaner measure than net income,None,FERC operating margin derived on identical scope,NOT_YET_FILED,Structured raw metric,Revenue - expenses = NCOI within $1
LQ-A-05,Liquids,Reported earnings,Net income,Form 6 p.114,Annual,Filing entity,EXCLUDE,Excluded from display (retained in data),Includes non-carrier items; NCOI is the cleaner operating measure and net income would double-carry the earnings question,LQ-A-04,Not displayed; stored for reconciliation,n/a,Structured raw metric (data layer),None beyond storage
LQ-A-06,Liquids,Capital and physical profile,Carrier property / noncarrier property,Form 6 p.110,"Annual, point-in-time",Filing entity,DRILL_DOWN,Supporting (carrier property only; noncarrier excluded from display),Scale of invested property; a balance distinct from the regulatory rate base and not capex,Noncarrier property excluded - outside carrier operations,Labelled 'gross balance'; never rate base; never capex,NOT_YET_FILED,Structured raw metric,Continuity check
LQ-A-07,Liquids,Activity and use,Barrels received / delivered out (annual),Form 6 p.600,Annual,Filing entity,HEADLINE + CHART,Primary (delivered out; received is QA/reconciliation),Volume handled - the physical activity anchor,Received is near-duplicate context for most filers (and identical by filer quirk at Grand Prix - flagged never corrected),One activity measure headlines; nested product/state splits never summed across levels,NOT_YET_FILED,Structured raw metric,Received vs delivered plausibility check; Grand Prix identity quirk flagged
LQ-A-08,Liquids,Activity and use,Barrel-miles,Form 6 p.600 / p.700,Annual,Filing entity (whole-entity and interstate versions differ),CHART,Supporting,Adds haul distance to the volume measure - better traffic measure than barrels alone,None,Never labelled utilisation (no capacity denominator); whole-entity and interstate versions never mixed,NOT_YET_FILED,Structured raw metric,Scope of each version labelled
LQ-A-09,Liquids,Capital and physical profile,Trunk-line miles (products / crude),Form 6 p.602,"Annual, point-in-time",System,DRILL_DOWN,Supporting (physical profile),Physical scale by product,None,Single-product filers report only that product's mileage - absence is NOT_APPLICABLE not a gap,NOT_APPLICABLE per product,Structured raw metric,None
LQ-A-10,Liquids,Rates and regulation,Carrier-reported jurisdictional original-cost rate base,Form 6 p.700,Annual,"Filing entity, interstate only",DRILL_DOWN + CHART,Supporting (feeds the two Page 700 headline screens),The regulatory capital measure; carrier-reported and jurisdictional - never Commission-approved and never compared with p.114,None,Permanent 'carrier-reported / interstate-only' label,SOURCE_NOT_RETRIEVED until Page 700 extraction ships,Structured raw metric,Never mixed with whole-entity figures
LQ-A-11,Liquids,Rates and regulation,Carrier-reported trended original-cost rate base,Form 6 p.700,Annual,Interstate only,DRILL_DOWN,Supporting,Oil-specific rate-making construct,LQ-A-10 is the primary rate-base view,Same labels as LQ-A-10,SOURCE_NOT_RETRIEVED until Page 700 extraction,Structured raw metric,None
LQ-A-12,Liquids,Rates and regulation,Carrier-reported jurisdictional cost of service,Form 6 p.700,Annual,Interstate only,DRILL_DOWN,Supporting (denominator of the headline ratio),Benchmark against jurisdictional revenue; a regulatory construct not a P&L,None,Only ever set against p.700 interstate revenue - never p.114,SOURCE_NOT_RETRIEVED until Page 700 extraction,Structured raw metric,Ratio uses p.700 revenue only (Magellan check: p.114 $1.35bn vs p.700 interstate $885m)
LQ-A-13,Liquids,Rates and regulation,"Carrier-reported return components (total, debt, equity)",Form 6 p.700,Annual,Interstate only,HEADLINE (annual screen),Primary (Page 700 headline),The carrier's own annual regulatory-return calculation - the most direct regulatory-earnings-risk screen liquids offer,None,Labelled carrier-reported; not an approved allowed return unless an order establishes it,SOURCE_NOT_RETRIEVED until Page 700 extraction,Structured raw metric,Return = rate base x reported rate within rounding
LQ-A-14,Liquids,Rates and regulation,Reported WACC and capital structure,Form 6 p.700,Annual,Interstate only,DRILL_DOWN,Supporting (explains LQ-A-13),The return assumptions used in the analysis,None,Filed precision preserved exactly (9.75% never 9.8%); shown with rate-base context never alone,SOURCE_NOT_RETRIEVED until Page 700 extraction,Structured raw metric,Precision-preservation assertion
LQ-A-15,Liquids,Rates and regulation,Interstate operating revenues and interstate throughput,Form 6 p.700,Annual,Interstate only,DRILL_DOWN,Supporting (numerator of the headline ratio),The only revenue that may be set against jurisdictional cost of service,None,Never substituted by p.114,SOURCE_NOT_RETRIEVED until Page 700 extraction,Structured raw metric,Scope assertion vs p.114
LQ-A-16,Liquids,Reported earnings,Depreciation expense (Page 700 basis),Form 6 p.700,Annual,Interstate only,DRILL_DOWN,Supporting,Cost-structure detail on the regulatory basis,None,Basis label permanent,SOURCE_NOT_RETRIEVED until Page 700 extraction,Structured raw metric,None
LQ-Q-01,Liquids,Reported earnings,Operating revenues (quarterly),Form 6-Q; Q4 = annual - Q3 YTD,"Quarterly, all four quarters","Filing entity, whole entity",HEADLINE + CHART,Primary,Timely top line; Q4 derivation validated exactly on Magellan and Grand Prix,None,Q4 carries the derived marker,SOURCE_NOT_RETRIEVED until 6-Q ingestion; DERIVED for Q4,Derived metric drill-through for Q4,Q4 rev - Q4 exp = Q4 NCOI at $0.00 (proven both filers)
LQ-Q-02,Liquids,Reported earnings,Operating expenses (quarterly),Form 6-Q; Q4 derived,Quarterly,"Filing entity, whole entity",DRILL_DOWN + CHART,Supporting (margin component),Margin driver,None,Chart component,SOURCE_NOT_RETRIEVED until 6-Q ingestion; DERIVED for Q4,Derived metric drill-through,Same identity
LQ-Q-03,Liquids,Reported earnings,Net carrier operating income (quarterly),Form 6-Q; Q4 derived,Quarterly,"Filing entity, whole entity",HEADLINE + CHART,Primary,Profitability trend; self-validating against revenue minus expenses,None,Derived marker on Q4,SOURCE_NOT_RETRIEVED until 6-Q ingestion; DERIVED for Q4,Derived metric drill-through,Identity at $0.00; additivity Q1+Q2+Q3 vs Q3 YTD within $100/0.001%
LQ-Q-04,Liquids,Reported earnings,Net income (quarterly),Form 6-Q,Quarterly,Filing entity,EXCLUDE,Excluded from display (retained in data),Same reasoning as LQ-A-05,LQ-Q-03,Not displayed,n/a,Structured raw metric (data layer),None
LQ-Q-05,Liquids,Activity and use,Barrels delivered out / received (quarterly),Form 6-Q YTD differenced; Q4 = annual - Q3 YTD,"Quarterly (derived from YTD), all four quarters",Filing entity,HEADLINE + CHART,Primary (delivered out),The recurring physical-activity measure,Received: QA/reconciliation as in LQ-A-07,A negative derived quarter triggers REVIEW and is suppressed from the chart while retained in storage - never clipped,SOURCE_NOT_RETRIEVED until 6-Q ingestion; DERIVED,Derived metric drill-through (differencing lineage),Non-negativity check; full-chain recompute on any revision
LQ-Q-06,Liquids,Capital and physical profile,Carrier property (quarter-end balance),Form 6-Q,"Quarterly, point-in-time",Filing entity,DRILL_DOWN,Supporting,Property-balance trend; movement is not capex,LQ-A-06 is the year-end point,Balance label,SOURCE_NOT_RETRIEVED until 6-Q ingestion,Structured raw metric,Continuity check
LQ-Q-07,Liquids,Capital and physical profile,Gross additions to carrier property,Form 6-Q investing-activities schedule,YTD,Filing entity,DRILL_DOWN + CHART,Supporting,The defensible capital-additions measure - exact FERC label preserved; never renamed capex,None,YTD basis stated; quarter-differenced only after derivation testing,SOURCE_NOT_RETRIEVED until 6-Q ingestion,Structured raw metric,Exact-label assertion
LQ-Q-08,Liquids,Activity and use,Crude / products and state-of-origin splits,Form 6-Q dimensions,YTD,Filing entity,DRILL_DOWN,Supporting,Explains changing barrels and haul economics,None,Per-filer hierarchy detection: first additive level only may be labelled additive; nested detail never summed (Magellan verified additive at level 1; Grand Prix has a different context structure),SOURCE_NOT_RETRIEVED until 6-Q ingestion,Structured raw metric with dimension level shown,First-level sum = undimensioned total within volume tolerance
LQ-Q-09,Liquids,Rates and regulation,Quarterly regulatory economics,Form 6-Q,-,-,UNAVAILABLE_FROM_FERC,Genuine gap,Form 6-Q contains zero Page 700 concepts - rate base / cost of service / return / WACC are annual only; intra-year rate events are tracked separately through eLibrary and eTariff,None,Shown in the Page 700 section as 'annual only - FERC publishes no quarterly update',UNAVAILABLE_FROM_FERC,n/a,Wording: 'Form 6-Q does not update Page 700' (never 'nothing changes intra-year')
IS-01,Intrastate §311/Hinshaw,Activity and use,Quarterly billed usage,Form 549D usage billing determinant,Quarterly,Transaction row -> filer,HEADLINE + CHART,Primary,The only recurring activity measure for these pipelines,None,Labelled billing determinant - never metered physical throughput; §311/Hinshaw scope banner on every section,SOURCE_NOT_RETRIEVED until 549D ingestion ships,Structured raw metric (data.ferc.gov dataset 29 row),Unit normalisation via BU descriptors before any cross-filer aggregate
IS-02,Intrastate §311/Hinshaw,Reported earnings,Annual §311 / Hinshaw revenue,Form 549D revenue fields (Q4),Annual (reported only in Q4),Transaction row -> filer,HEADLINE,Primary - but only when the revenue-quality gate passes,The only structured revenue view for this regime; duplicate-grain ambiguity is real and quarter-dependent ($5.8m / 0.24% in 2024-Q4),None,Published with raw row sum + candidate adjusted sum + ambiguity value + divergence %; headline withheld above 0.5% divergence; usage-weighted coverage badge always beside it,GATED / AMBIGUOUS when the gate fails; SOURCE_NOT_RETRIEVED until ingestion,Derived metric (row-sum lineage + ambiguity fields),Divergence and coverage computed per filer-year; blank revenue is NULL never zero
IS-03,Intrastate §311/Hinshaw,Reported earnings,"Revenue components (reservation, usage, annual-volume, other)",Form 549D (Q4),Annual,Transaction row,DRILL_DOWN,Supporting,Fixed vs activity-linked revenue mix,None,Components reconciled to total; non-reconciling filers flagged,SOURCE_NOT_RETRIEVED until ingestion,Structured raw metric,Component sum vs reported total with exception flags
IS-04,Intrastate §311/Hinshaw,Sources and quality,Revenue coverage (usage-weighted),Derived from Form 549D,Quarterly,Filer,QA_PROVENANCE_ONLY (rendered as a visible badge beside IS-02),Supporting (gates IS-02),Whether the revenue figure is representative; row-count coverage misleads (Tejas: 75% row-count vs 67.6% usage-weighted),None,Always visible next to the revenue value it qualifies - never buried in a methodology page,SOURCE_NOT_RETRIEVED until ingestion,Derived metric,Usage-weighted basis asserted; affiliate blank-revenue rows counted as uncovered
