source_doc,source_row,template,audited_outcome,disposition,successors,adapter,role,note
audit 2026-09-08 field_status_all_166,interstate_gas::aux_peaking_capacity,interstate_gas,implemented_retrieved_validated,carried,aux_peaking_capacity,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::backhaul_throughput,interstate_gas,implemented_retrieved_validated,carried,backhaul_throughput,gas_xbrl,component,
audit 2026-09-08 field_status_all_166,interstate_gas::cap_peak_day_ratio,interstate_gas,implemented_source_blank_or_not_required,carried,cap_peak_day_ratio,capacity,gated,
audit 2026-09-08 field_status_all_166,interstate_gas::cap_reported_capacity,interstate_gas,implemented_retrieved_validated,carried,cap_reported_capacity,capacity,conditional,
audit 2026-09-08 field_status_all_166,interstate_gas::certificated_horsepower,interstate_gas,implemented_retrieved_validated,carried,certificated_horsepower,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::compressor_fuel,interstate_gas,implemented_retrieved_validated,carried,compressor_fuel,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::compressor_units,interstate_gas,implemented_retrieved_validated,carried,compressor_units,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::deliveries_of_gas_transported_for_others,interstate_gas,implemented_retrieved_validated,carried,deliveries_of_gas_transported_for_others,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::depreciation_expense,interstate_gas,implemented_retrieved_validated,carried,depreciation_expense,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::discounted_rate_volumes,interstate_gas,implemented_retrieved_validated,carried,discounted_rate_volumes,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::event_replacement_report,interstate_gas,implemented_retrieved_validated,carried,event_replacement_report,elibrary_docs,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::event_reportable_interruption,interstate_gas,implemented_source_blank_or_not_required,carried,event_reportable_interruption,elibrary_docs,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::forwardhaul_throughput,interstate_gas,implemented_retrieved_validated,carried,forwardhaul_throughput,gas_xbrl,component,
audit 2026-09-08 field_status_all_166,interstate_gas::gas_account_balancing_total,interstate_gas,implemented_retrieved_validated,carried,gas_account_balancing_total,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::gas_delivered_by_utility,interstate_gas,implemented_retrieved_validated,carried,gas_delivered_by_utility,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::gas_losses_and_unaccounted_for,interstate_gas,implemented_retrieved_validated,carried,gas_losses_and_unaccounted_for,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::gas_of_others_received_for_transmission,interstate_gas,implemented_retrieved_validated,carried,gas_of_others_received_for_transmission,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::gas_operating_revenues,interstate_gas,implemented_retrieved_validated,carried,gas_operating_revenues,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::gas_plant_in_service,interstate_gas,implemented_retrieved_validated,carried,gas_plant_in_service,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::gas_received_by_utility,interstate_gas,implemented_retrieved_validated,carried,gas_received_by_utility,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::ioc_affiliate_share,interstate_gas,implemented_retrieved_validated,carried,ioc_affiliate_share,ioc,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::ioc_contracted_storage_quantity,interstate_gas,implemented_retrieved_validated,carried,ioc_contracted_storage_quantity,ioc,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::ioc_expiry_profile,interstate_gas,implemented_retrieved_validated,carried,ioc_expiry_profile,ioc,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::ioc_firm_transport_mdq,interstate_gas,implemented_retrieved_validated,carried,ioc_firm_transport_mdq,ioc,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::ioc_identity_coverage,interstate_gas,implemented_retrieved_validated,carried,ioc_identity_coverage,ioc,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::ioc_mdq_change,interstate_gas,implemented_retrieved_validated,carried,ioc_mdq_change,ioc,trend,
audit 2026-09-08 field_status_all_166,interstate_gas::ioc_points,interstate_gas,source_exists_interpretation_blocked,carried,ioc_points,ioc,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::ioc_top5_shipper_concentration,interstate_gas,implemented_retrieved_validated,carried,ioc_top5_shipper_concentration,ioc,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::maintenance_expense,interstate_gas,implemented_retrieved_validated,carried,maintenance_expense,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::max_day_withdrawal,interstate_gas,implemented_retrieved_validated,carried,max_day_withdrawal,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::negotiated_rate_volumes,interstate_gas,implemented_retrieved_validated,carried,negotiated_rate_volumes,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::net_income,interstate_gas,implemented_retrieved_validated,carried,net_income,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::net_utility_operating_income,interstate_gas,implemented_retrieved_validated,carried,net_utility_operating_income,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::operating_margin_pct,interstate_gas,implemented_retrieved_validated,carried,operating_margin_pct,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::operation_expense,interstate_gas,implemented_retrieved_validated,carried,operation_expense,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::profile_capacity_narrative,interstate_gas,source_exists_interpretation_blocked,carried,profile_capacity_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::profile_compressor_narrative,interstate_gas,source_exists_interpretation_blocked,carried,profile_compressor_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::profile_diameter_narrative,interstate_gas,source_exists_interpretation_blocked,carried,profile_diameter_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::profile_flow_statement_narrative,interstate_gas,source_exists_interpretation_blocked,carried,profile_flow_statement_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::profile_miles_narrative,interstate_gas,source_exists_interpretation_blocked,carried,profile_miles_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::profile_stations_narrative,interstate_gas,source_exists_interpretation_blocked,carried,profile_stations_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::rate_case_status,interstate_gas,implemented_retrieved_validated,carried,rate_case_status,elibrary_docs,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::rate_effective_date,interstate_gas,implemented_retrieved_validated,carried,rate_effective_date,elibrary_docs,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::refund_exposure_window,interstate_gas,implemented_retrieved_validated,carried,refund_exposure_window,elibrary_docs,conditional,
audit 2026-09-08 field_status_all_166,interstate_gas::single_day_peak_date,interstate_gas,implemented_retrieved_validated,carried,single_day_peak_date,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::single_day_peak_deliveries,interstate_gas,implemented_retrieved_validated,carried,single_day_peak_deliveries,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::storage_capacity,interstate_gas,implemented_retrieved_validated,carried,storage_capacity,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::storage_injections,interstate_gas,implemented_retrieved_validated,carried,storage_injections,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::storage_injections_others,interstate_gas,implemented_retrieved_validated,carried,storage_injections_others,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::storage_injections_own,interstate_gas,implemented_retrieved_validated,carried,storage_injections_own,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::storage_withdrawals,interstate_gas,implemented_retrieved_validated,carried,storage_withdrawals,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::storage_withdrawals_others,interstate_gas,implemented_retrieved_validated,carried,storage_withdrawals_others,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::storage_withdrawals_own,interstate_gas,implemented_retrieved_validated,carried,storage_withdrawals_own,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::tariff_operative_rate,interstate_gas,source_exists_interpretation_blocked,carried,tariff_operative_rate,elibrary_docs,gated,
audit 2026-09-08 field_status_all_166,interstate_gas::three_day_peak_deliveries,interstate_gas,implemented_retrieved_validated,carried,three_day_peak_deliveries,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::three_day_peak_start_date,interstate_gas,implemented_retrieved_validated,carried,three_day_peak_start_date,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,interstate_gas::total_throughput,interstate_gas,implemented_retrieved_validated,carried,total_throughput,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::transmission_miles,interstate_gas,implemented_retrieved_validated,carried,transmission_miles,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::transmission_plant,interstate_gas,implemented_retrieved_validated,carried,transmission_plant,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::utility_operating_expenses,interstate_gas,implemented_retrieved_validated,carried,utility_operating_expenses,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_affiliate_activity,intrastate_549d,implemented_retrieved_validated,carried,i311_affiliate_activity,form549d,detail,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_annual_transport_revenue,intrastate_549d,implemented_retrieved_validated,carried,i311_annual_transport_revenue,form549d,headline,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_billed_transport_usage,intrastate_549d,implemented_retrieved_validated,carried,i311_billed_transport_usage,form549d,headline,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_component_rates,intrastate_549d,implemented_retrieved_validated,carried,i311_component_rates,form549d,detail,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_contract_expiry,intrastate_549d,implemented_retrieved_validated,carried,i311_contract_expiry,form549d,conditional,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_discounts_and_schedules,intrastate_549d,implemented_retrieved_validated,carried,i311_discounts_and_schedules,form549d,detail,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_firm_share,intrastate_549d,implemented_retrieved_validated,carried,i311_firm_share,form549d,headline,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_points_decoded,intrastate_549d,implemented_retrieved_validated,carried,i311_points_decoded,form549d,detail,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_reporting_state,intrastate_549d,implemented_retrieved_validated,carried,i311_reporting_state,form549d,detail,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_revenue_components,intrastate_549d,implemented_retrieved_validated,carried,i311_revenue_components,form549d,detail,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_revenue_grain_diagnostic,intrastate_549d,implemented_retrieved_validated,carried,i311_revenue_grain_diagnostic,form549d,detail,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_storage_determinants,intrastate_549d,implemented_retrieved_validated,carried,i311_storage_determinants,form549d,detail,
audit 2026-09-08 field_status_all_166,intrastate_549d::i311_top5_shipper_share,intrastate_549d,implemented_retrieved_validated,carried,i311_top5_shipper_share,form549d,headline,
audit 2026-09-08 field_status_all_166,intrastate_549d::rate_case_status,intrastate_549d,implemented_retrieved_validated,carried,rate_case_status,elibrary_docs,headline,
audit 2026-09-08 field_status_all_166,intrastate_549d::rate_effective_date,intrastate_549d,implemented_retrieved_validated,carried,rate_effective_date,elibrary_docs,detail,
audit 2026-09-08 field_status_all_166,liquids::liq_accum_depreciation,liquids,implemented_retrieved_validated,carried,liq_accum_depreciation,liquids_xbrl,profile,
audit 2026-09-08 field_status_all_166,liquids::liq_allowance_revenue,liquids,implemented_retrieved_validated,carried,liq_allowance_revenue,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::liq_barrel_miles,liquids,implemented_retrieved_validated,carried,liq_barrel_miles,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::liq_barrels_delivered,liquids,implemented_retrieved_validated,carried,liq_barrels_delivered,liquids_xbrl,headline,
audit 2026-09-08 field_status_all_166,liquids::liq_barrels_received,liquids,implemented_retrieved_validated,carried,liq_barrels_received,liquids_xbrl,trend,
audit 2026-09-08 field_status_all_166,liquids::liq_carrier_property,liquids,implemented_retrieved_validated,carried,liq_carrier_property,liquids_xbrl,profile,
audit 2026-09-08 field_status_all_166,liquids::liq_delivery_revenue,liquids,implemented_retrieved_validated,carried,liq_delivery_revenue,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::liq_form6_filing_completeness,liquids,retrieval_or_access_failure,carried,liq_form6_filing_completeness,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::liq_gross_additions,liquids,implemented_retrieved_validated,carried,liq_gross_additions,liquids_xbrl,profile,
audit 2026-09-08 field_status_all_166,liquids::liq_incidental_revenue,liquids,implemented_retrieved_validated,carried,liq_incidental_revenue,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::liq_miles_of_pipeline,liquids,implemented_retrieved_validated,carried,liq_miles_of_pipeline,liquids_xbrl,profile,
audit 2026-09-08 field_status_all_166,liquids::liq_net_carrier_operating_income,liquids,implemented_retrieved_validated,carried,liq_net_carrier_operating_income,liquids_xbrl,headline,
audit 2026-09-08 field_status_all_166,liquids::liq_noncarrier_property,liquids,implemented_retrieved_validated,carried,liq_noncarrier_property,liquids_xbrl,profile,
audit 2026-09-08 field_status_all_166,liquids::liq_oil_price_index,liquids,not_implemented_unfinished_work,split,liq_oil_pipeline_index_factor;liq_oil_pipeline_index_change,,,"The single 'oil price index' row conflated two different published FERC figures: the annual index LEVEL the Commission sets under 18 CFR 342.3 and the year-on-year CHANGE applied to a carrier's ceiling rate. They have different units and different uses, so they are separate fields; neither inherits the other's status."
audit 2026-09-08 field_status_all_166,liquids::liq_operating_expenses,liquids,implemented_retrieved_validated,carried,liq_operating_expenses,liquids_xbrl,headline,
audit 2026-09-08 field_status_all_166,liquids::liq_operating_margin_pct,liquids,implemented_retrieved_validated,carried,liq_operating_margin_pct,liquids_xbrl,headline,
audit 2026-09-08 field_status_all_166,liquids::liq_operating_revenue,liquids,implemented_retrieved_validated,carried,liq_operating_revenue,liquids_xbrl,headline,
audit 2026-09-08 field_status_all_166,liquids::liq_opex_per_barrel,liquids,implemented_source_blank_or_not_required,carried,liq_opex_per_barrel,liquids_xbrl,conditional,
audit 2026-09-08 field_status_all_166,liquids::liq_revenue_per_barrel,liquids,implemented_retrieved_validated,carried,liq_revenue_per_barrel,liquids_xbrl,conditional,
audit 2026-09-08 field_status_all_166,liquids::liq_trunk_revenue,liquids,implemented_retrieved_validated,carried,liq_trunk_revenue,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_barrel_miles,liquids,implemented_retrieved_validated,carried,p700_barrel_miles,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_capital_structure_debt,liquids,implemented_retrieved_validated,carried,p700_capital_structure_debt,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_capital_structure_equity,liquids,implemented_retrieved_validated,carried,p700_capital_structure_equity,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_depreciation_regulatory,liquids,implemented_retrieved_validated,carried,p700_depreciation_regulatory,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_income_tax_allowance,liquids,implemented_retrieved_validated,carried,p700_income_tax_allowance,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_interstate_operating_revenue,liquids,implemented_retrieved_validated,carried,p700_interstate_operating_revenue,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_original_cost_rate_base,liquids,implemented_retrieved_validated,carried,p700_original_cost_rate_base,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_return_component,liquids,implemented_retrieved_validated,carried,p700_return_component,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_revenue_less_cost_of_service,liquids,implemented_retrieved_validated,carried,p700_revenue_less_cost_of_service,liquids_xbrl,headline,
audit 2026-09-08 field_status_all_166,liquids::p700_revenue_to_cost_ratio,liquids,implemented_retrieved_validated,carried,p700_revenue_to_cost_ratio,liquids_xbrl,headline,
audit 2026-09-08 field_status_all_166,liquids::p700_throughput_barrels,liquids,implemented_retrieved_validated,carried,p700_throughput_barrels,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_total_cost_of_service,liquids,implemented_retrieved_validated,carried,p700_total_cost_of_service,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_trended_original_cost_rate_base,liquids,implemented_retrieved_validated,carried,p700_trended_original_cost_rate_base,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::p700_wacc,liquids,implemented_retrieved_validated,carried,p700_wacc,liquids_xbrl,detail,
audit 2026-09-08 field_status_all_166,liquids::rate_case_status,liquids,implemented_retrieved_validated,carried,rate_case_status,elibrary_docs,headline,
audit 2026-09-08 field_status_all_166,liquids::rate_effective_date,liquids,implemented_retrieved_validated,carried,rate_effective_date,elibrary_docs,detail,
audit 2026-09-08 field_status_all_166,liquids::refund_exposure_window,liquids,implemented_retrieved_validated,carried,refund_exposure_window,elibrary_docs,conditional,
audit 2026-09-08 field_status_all_166,liquids::tariff_operative_rate,liquids,source_exists_interpretation_blocked,carried,tariff_operative_rate,elibrary_docs,gated,
audit 2026-09-08 field_status_all_166,lng::lng_inspection,lng,not_implemented_unfinished_work,carried,lng_inspection,lng,detail,
audit 2026-09-08 field_status_all_166,lng::lng_liquefaction_capacity,lng,implemented_retrieved_validated,carried,lng_liquefaction_capacity,lng,headline,
audit 2026-09-08 field_status_all_166,lng::lng_material_order,lng,implemented_retrieved_validated,carried,lng_material_order,lng,headline,
audit 2026-09-08 field_status_all_166,lng::lng_operational_report,lng,implemented_retrieved_validated,carried,lng_operational_report,lng,detail,
audit 2026-09-08 field_status_all_166,lng::lng_regas_sendout_capacity,lng,implemented_retrieved_validated,carried,lng_regas_sendout_capacity,lng,headline,
audit 2026-09-08 field_status_all_166,lng::lng_status_authorised,lng,implemented_retrieved_validated,carried,lng_status_authorised,lng,headline,
audit 2026-09-08 field_status_all_166,lng::lng_status_operating,lng,implemented_retrieved_validated,carried,lng_status_operating,lng,headline,
audit 2026-09-08 field_status_all_166,lng::lng_status_requested,lng,implemented_retrieved_validated,carried,lng_status_requested,lng,headline,
audit 2026-09-08 field_status_all_166,lng::lng_storage_capacity,lng,implemented_retrieved_validated,carried,lng_storage_capacity,lng,profile,
current registry,lng::lng_status_commissioning,lng,,new,lng_status_commissioning,lng,headline,not present in the audited 166; introduced by the repair
