metric_id,display,meaning,templates,regimes,optional_regimes,concept_local,schedule,scope,unit_rule,selector,fallback,derivation,dependencies,quality_gate,role,gate_reason,implementation,adapter,registry_version,notes
total_throughput,Total volume of throughput,Total gas volume moved through the system in the period.,interstate_gas,Form 3Q Gas:quarter;Form 2:quarter;Form 2A:quarter,,TotalVolumeOfThroughput,Form 2/2-A p.521-M1 line 68; Form 3-Q,system,utr:dth | ferc:dth (migrated-era unit vocabulary),undim,,,,total = forwardhaul + backhaul where all three are filed; a filed blank total stays blank and is never replaced by a component,headline,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
forwardhaul_throughput,Forwardhaul volume of throughput,Forwardhaul component of throughput.,interstate_gas,Form 3Q Gas:quarter;Form 2:quarter;Form 2A:quarter,Form 3Q Gas:quarter,ForwardhaulVolumeOfThroughput,Form 2/2-A p.521-M1 line 66; Form 3-Q,system,utr:dth | ferc:dth (migrated-era unit vocabulary),undim,,,,component; never used as the total,component,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
backhaul_throughput,Backhaul volume of throughput,Backhaul component of throughput.,interstate_gas,Form 3Q Gas:quarter;Form 2:quarter;Form 2A:quarter,Form 3Q Gas:quarter;Form 2:quarter;Form 2A:quarter,BackhaulVolumeOfThroughput,Form 2/2-A p.521-M1 line 67; Form 3-Q,system,utr:dth | ferc:dth (migrated-era unit vocabulary),undim,,,,a blank backhaul is NOT zero; absence is reported as a source blank,component,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
gas_received_by_utility,Quantity of natural gas received by utility,"Quantity of natural gas received by utility, p.520 system row.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 2:quarter;Form 2A:quarter;Form 3Q Gas:quarter;Form 3Q Gas:ytd,,QuantityOfNaturalGasReceivedByUtility,Form 2/2-A p.520 line 15; Form 3-Q,"system - receipt side, every measurement point",utr:dth | ferc:dth (migrated-era unit vocabulary),typed-system,,sequential_ytd,,only the p.520 system row is canonical; other cuts stay raw; receipt-side total equals the delivery-side balancing total,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
gas_delivered_by_utility,Quantity of natural gas delivered by utility,"Quantity of natural gas delivered by utility, p.520 system row.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 2:quarter;Form 2A:quarter;Form 3Q Gas:quarter;Form 3Q Gas:ytd,,QuantityOfNaturalGasDeliveredByUtility,Form 2/2-A p.520 line 37; Form 3-Q,system - delivery side before losses/unaccounted,utr:dth | ferc:dth (migrated-era unit vocabulary),typed-system,,sequential_ytd,,only the p.520 system row is canonical; other cuts stay raw; receipt-side total equals the delivery-side balancing total,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
gas_of_others_received_for_transmission,Gas of others received for transmission (Account 489.2),"Gas of others received for transmission (Account 489.2), p.520 system row.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 2:quarter;Form 2A:quarter;Form 3Q Gas:quarter;Form 3Q Gas:ytd,,QuantityOfNaturalGasReceivedByUtilityGasOfOthersReceivedForTransmission,Form 2/2-A p.520 line 3; Form 3-Q,system - receipt-side third-party component,utr:dth | ferc:dth (migrated-era unit vocabulary),typed-system,,sequential_ytd,,only the p.520 system row is canonical; other cuts stay raw; receipt-side total equals the delivery-side balancing total,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
deliveries_of_gas_transported_for_others,Deliveries of gas transported for others (Account 489.2),"Deliveries of gas transported for others (Account 489.2), p.520 system row.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 2:quarter;Form 2A:quarter;Form 3Q Gas:quarter;Form 3Q Gas:ytd,,QuantityOfNaturalGasDeliveredByUtilityDeliveriesOfGasTransportedForOthers,Form 2/2-A p.520 line 27; Form 3-Q,system - delivery-side third-party component,utr:dth | ferc:dth (migrated-era unit vocabulary),typed-system,,sequential_ytd,,only the p.520 system row is canonical; other cuts stay raw; receipt-side total equals the delivery-side balancing total,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
gas_losses_and_unaccounted_for,Gas losses and gas unaccounted for,"Gas losses and gas unaccounted for, p.520 system row.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 2:quarter;Form 2A:quarter;Form 3Q Gas:quarter;Form 3Q Gas:ytd,,GasAccountGasLossesAndGasUnaccountedForGasAccount,Form 2/2-A p.520 line 42; Form 3-Q,system - loss/unaccounted component of the delivery side,utr:dth | ferc:dth (migrated-era unit vocabulary),typed-system,,sequential_ytd,,only the p.520 system row is canonical; other cuts stay raw; receipt-side total equals the delivery-side balancing total,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
gas_account_balancing_total,"Deliveries, gas losses and unaccounted-for (balancing total)","Deliveries, gas losses and unaccounted-for (balancing total), p.520 system row.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 2:quarter;Form 2A:quarter;Form 3Q Gas:quarter;Form 3Q Gas:ytd,,DeliveriesGasLossesAndUnaccountedForGasAccount,Form 2/2-A p.520 line 44; Form 3-Q,system - balancing total; equals total gas received,utr:dth | ferc:dth (migrated-era unit vocabulary),typed-system,,sequential_ytd,,only the p.520 system row is canonical; other cuts stay raw; receipt-side total equals the delivery-side balancing total,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
transmission_miles,Total miles of transmission line,"Miles of transmission line on the system, from the dedicated schedule.",interstate_gas,Form 2:instant,Form 2:instant,LengthOfTransmissionLinesOfTransmissionSystems,Form 2 p.514,system,utr:mi,undim | filed_aggregate_sum | typed-label:TOTAL,"where the form has no p.514 (Form 2-A), a narrative textblock figure may be recorded separately as profile_miles_narrative - never as a p.514 total",filed_aggregate_sum,,aggregate-row sum equals detail-row sum within 0.15 mi; overlapping cuts are never summed,profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
compressor_units,Number of compressor units,Number of compressor units from the compressor-station schedule.,interstate_gas,Form 2:annual,,NumberOfUnitsAtCompressorStation,Form 2 p.508-509,system,pure | xbrli:pure (count),undim | typed-label:TOTAL | subtotal_sum,,subtotal_sum,,subtotal sum equals detail sum exactly; subtotals and details never mixed,profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
certificated_horsepower,Certificated horsepower,Certificated horsepower from the compressor-station schedule.,interstate_gas,Form 2:annual,,CertificatedHorsepowerForEachCompressorStation,Form 2 p.508-509,system,utr:MW (filed; the rendered column is horsepower - warning attached),undim | typed-label:TOTAL | subtotal_sum,,subtotal_sum,,subtotal sum equals detail sum exactly; subtotals and details never mixed,profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
compressor_fuel,Gas for compressor fuel,Gas for compressor fuel from the compressor-station schedule.,interstate_gas,Form 2:annual,,GasForCompressorFuel,Form 2 p.508-509,system,utr:dth | ferc:dth (migrated-era unit vocabulary),undim | typed-label:TOTAL | subtotal_sum,,subtotal_sum,,subtotal sum equals detail sum exactly; subtotals and details never mixed,profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
storage_capacity,Certificated storage capacity,The authorised storage quantity. NOT necessarily working gas and NOT deliverability.,interstate_gas;gas_storage,Form 2:annual,,CertificatedStorageCapacity,Form 2 p.512-513,system,utr:dth | pure (rendered p.512-513 supplies Dth),undim,,,,unit note attached on pure/unitless years; never added to inventory or MDQ,headline,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
max_day_withdrawal,Maximum day's withdrawal from storage,The OBSERVED maximum daily withdrawal in the year. Not an engineering maximum deliverability.,interstate_gas;gas_storage,Form 2:annual,,MaximumDaysWithdrawalFromStorage,Form 2 p.512-513,system,utr:dth | pure (rendered p.512-513 supplies Dth),undim,,,,"observed, not capability; shown separately from any capacity estimate",headline,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
storage_injections,Gas delivered to storage (injections),"Gas delivered to storage (injections): total volume injected into storage, as filed.",gas_storage;interstate_gas,Form 2:annual;Form 2A:annual,Form 2A:annual,GasDeliveredToStorage,Form 2 p.512-513 storage operations,system; own gas and others' gas are reported separately and never merged,utr:dth | ferc:dth (migrated-era unit vocabulary),undim | typed-label:TOTAL,,,,"own and others' components never summed into the total without evidence that the filed total is absent; service, gas ownership, period and units kept distinct",detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
storage_injections_own,Gas delivered to storage - respondent's own gas,"Gas delivered to storage - respondent's own gas: injections of the respondent's own gas, as filed.",gas_storage;interstate_gas,Form 2:annual;Form 2A:annual,Form 2A:annual,GasDeliveredToStorageThatBelongToRespondent,Form 2 p.512-513 storage operations,system; own gas and others' gas are reported separately and never merged,utr:dth | ferc:dth (migrated-era unit vocabulary),undim | typed-label:TOTAL,,,,"own and others' components never summed into the total without evidence that the filed total is absent; service, gas ownership, period and units kept distinct",detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
storage_injections_others,Gas delivered to storage - others' gas,"Gas delivered to storage - others' gas: injections of gas belonging to others, as filed.",gas_storage;interstate_gas,Form 2:annual;Form 2A:annual,Form 2A:annual,GasDeliveredToStorageThatBelongToOthers,Form 2 p.512-513 storage operations,system; own gas and others' gas are reported separately and never merged,utr:dth | ferc:dth (migrated-era unit vocabulary),undim | typed-label:TOTAL,,,,"own and others' components never summed into the total without evidence that the filed total is absent; service, gas ownership, period and units kept distinct",detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
storage_withdrawals,Gas withdrawn from storage,"Gas withdrawn from storage: total volume withdrawn from storage, as filed.",gas_storage;interstate_gas,Form 2:annual;Form 2A:annual,Form 2A:annual,GasWithdrawnFromStorage,Form 2 p.512-513 storage operations,system; own gas and others' gas are reported separately and never merged,utr:dth | ferc:dth (migrated-era unit vocabulary),undim | typed-label:TOTAL,,,,"own and others' components never summed into the total without evidence that the filed total is absent; service, gas ownership, period and units kept distinct",detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
storage_withdrawals_own,Gas withdrawn from storage - respondent's own gas,"Gas withdrawn from storage - respondent's own gas: withdrawals of the respondent's own gas, as filed.",gas_storage;interstate_gas,Form 2:annual;Form 2A:annual,Form 2A:annual,GasWithdrawnFromStorageThatBelongToRespondent,Form 2 p.512-513 storage operations,system; own gas and others' gas are reported separately and never merged,utr:dth | ferc:dth (migrated-era unit vocabulary),undim | typed-label:TOTAL,,,,"own and others' components never summed into the total without evidence that the filed total is absent; service, gas ownership, period and units kept distinct",detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
storage_withdrawals_others,Gas withdrawn from storage - others' gas,"Gas withdrawn from storage - others' gas: withdrawals of gas belonging to others, as filed.",gas_storage;interstate_gas,Form 2:annual;Form 2A:annual,Form 2A:annual,GasWithdrawnFromStorageThatBelongToOthers,Form 2 p.512-513 storage operations,system; own gas and others' gas are reported separately and never merged,utr:dth | ferc:dth (migrated-era unit vocabulary),undim | typed-label:TOTAL,,,,"own and others' components never summed into the total without evidence that the filed total is absent; service, gas ownership, period and units kept distinct",detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
single_day_peak_deliveries,Single-day peak deliveries,"Peak single-day transmission deliveries, excluding deliveries to storage.",interstate_gas,Form 2:annual_observation,,VolumesOfGasTransported,Form 2 p.518,system - excludes deliveries to storage,utr:dth | ferc:dth (migrated-era unit vocabulary),peak-axis:single-day | peak-axis-relaxed:single-day,,,,negative adjustment members are raw evidence and are NEVER selected as a peak by sign or magnitude,headline,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
three_day_peak_deliveries,Three-day peak deliveries,"Peak three-day transmission deliveries, excluding deliveries to storage.",interstate_gas,Form 2:annual_observation,,VolumesOfGasTransported,Form 2 p.518,system - excludes deliveries to storage,utr:dth | ferc:dth (migrated-era unit vocabulary),peak-axis:three-day | peak-axis-relaxed:three-day,,,,as for the single-day peak,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
single_day_peak_date,Single-day peak delivery date,Single-day peak delivery date as filed; normalised ISO date kept separately.,interstate_gas,Form 2:annual_observation,,StartDatePeakDeliveries,Form 2 p.518,system,(date - no unit),peak-axis:single-day | peak-axis-relaxed:single-day,,,,"raw text preserved; implausible dates flagged, never repaired",detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
three_day_peak_start_date,Three-day peak start date,Three-day peak start date as filed; normalised ISO date kept separately.,interstate_gas,Form 2:annual_observation,,StartDatePeakDeliveries,Form 2 p.518,system,(date - no unit),peak-axis:three-day | peak-axis-relaxed:three-day,,,,"raw text preserved; implausible dates flagged, never repaired",detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
aux_peaking_capacity,Auxiliary peaking facilities - maximum daily delivery capacity,"Sum of per-facility maximum daily delivery capacity. A facility sum, not a certified system capacity.",interstate_gas,Form 2:annual,,AuxiliaryPeakingFacilitiesMaximumDailyDeliveryCapacityOfFacility,Form 2 p.519,"per-facility, summed; not a system capacity figure",utr:dth | ferc:dth (migrated-era unit vocabulary),facility_sum,,facility_sum,,flagged derived; facility count recorded,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
negotiated_rate_volumes,Volumes of negotiated-rate services,Volumes of negotiated-rate services. Volume only - says nothing about rate levels.,interstate_gas,Form 2:annual;Form 2A:annual,,VolumesOfNegotiatedRateServices,Form 2/2-A p.313,filing entity,utr:dth | pure (migrated; rendered p.313 supplies Dth),undim,,,,volume only,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
discounted_rate_volumes,Volumes of discounted-rate services,Volumes of discounted-rate services. Volume only - says nothing about rate levels.,interstate_gas,Form 2:annual;Form 2A:annual,,VolumesOfDiscountedRateServices,Form 2/2-A p.313,filing entity,utr:dth | pure (migrated; rendered p.313 supplies Dth),undim,,,,volume only,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
profile_miles_narrative,Line length (narrative disclosure),"FERC-filed narrative disclosure of line length in miles, extracted with its exact span.",interstate_gas;gas_storage,XBRL textblock:annual_observation,,GeneralInformationOnPlantAndOperationsTextblock,Form 2-A p.211.1 GeneralInformationOnPlantAndOperationsTextblock,as worded by the filer; NOT a p.514/p.508 schedule total and not a certified figure,as stated in the narrative,textblock_span,,,,"exact span, qualifier, unit and source fact identity stored; described sections are never added together; no unit conversion without a sourced basis",profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
profile_diameter_narrative,Line diameter (narrative disclosure),"FERC-filed narrative disclosure of line diameter, extracted with its exact span.",interstate_gas;gas_storage,XBRL textblock:annual_observation,,GeneralInformationOnPlantAndOperationsTextblock,Form 2-A p.211.1 GeneralInformationOnPlantAndOperationsTextblock,as worded by the filer; NOT a p.514/p.508 schedule total and not a certified figure,as stated in the narrative,textblock_span,,,,"exact span, qualifier, unit and source fact identity stored; described sections are never added together; no unit conversion without a sourced basis",profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
profile_compressor_narrative,Compression (narrative disclosure),"FERC-filed narrative disclosure of named station compressor units and horsepower, extracted with its exact span.",interstate_gas;gas_storage,XBRL textblock:annual_observation,,GeneralInformationOnPlantAndOperationsTextblock,Form 2-A p.211.1 GeneralInformationOnPlantAndOperationsTextblock,as worded by the filer; NOT a p.514/p.508 schedule total and not a certified figure,as stated in the narrative,textblock_span,,,,"exact span, qualifier, unit and source fact identity stored; described sections are never added together; no unit conversion without a sourced basis",profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
profile_capacity_narrative,Capacity description (narrative disclosure),"FERC-filed narrative disclosure of described capacity of connected line sections, extracted with its exact span.",interstate_gas;gas_storage,XBRL textblock:annual_observation,,GeneralInformationOnPlantAndOperationsTextblock,Form 2-A p.211.1 GeneralInformationOnPlantAndOperationsTextblock,as worded by the filer; NOT a p.514/p.508 schedule total and not a certified figure,as stated in the narrative,textblock_span,,,,"exact span, qualifier, unit and source fact identity stored; described sections are never added together; no unit conversion without a sourced basis",profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
profile_stations_narrative,Measurement stations (narrative disclosure),"FERC-filed narrative disclosure of receipt and delivery station counts, extracted with its exact span.",interstate_gas;gas_storage,XBRL textblock:annual_observation,,GeneralInformationOnPlantAndOperationsTextblock,Form 2-A p.211.1 GeneralInformationOnPlantAndOperationsTextblock,as worded by the filer; NOT a p.514/p.508 schedule total and not a certified figure,as stated in the narrative,textblock_span,,,,"exact span, qualifier, unit and source fact identity stored; described sections are never added together; no unit conversion without a sourced basis",profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
profile_flow_statement_narrative,Operating statement (narrative disclosure),"FERC-filed narrative disclosure of the filer's own statement about current or scheduled flows, extracted with its exact span.",interstate_gas;gas_storage,XBRL textblock:annual_observation,,GeneralInformationOnPlantAndOperationsTextblock,Form 2-A p.211.1 GeneralInformationOnPlantAndOperationsTextblock,as worded by the filer; NOT a p.514/p.508 schedule total and not a certified figure,as stated in the narrative,textblock_span,,,,"exact span, qualifier, unit and source fact identity stored; described sections are never added together; no unit conversion without a sourced basis",profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
liq_operating_revenue,Operating revenue (carrier),"Total operating revenue of the filing carrier, whole-entity scope.",liquids,Form 6:annual;Form 6Q:quarter;Form 6Q:ytd,,OperatingRevenues,Form 6 income statement,"filing entity, whole entity",iso4217:USD,undim,,sequential_ytd,,never mixed with the Page 700 interstate-only panel,headline,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_operating_expenses,Operating expenses (carrier),Total operating expenses of the filing carrier.,liquids,Form 6:annual;Form 6Q:quarter;Form 6Q:ytd,,OperatingExpenses,Form 6 income statement,"filing entity, whole entity",iso4217:USD,undim,,sequential_ytd,,quarterly sum reconciles to annual within tolerance,headline,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_net_carrier_operating_income,Net carrier operating income,Filed accounting operating performance of the carrier. Not EBITDA or cash flow.,liquids,Form 6:annual;Form 6Q:quarter;Form 6Q:ytd,,NetCarrierOperatingIncome,Form 6 income statement,"filing entity, whole entity",iso4217:USD,undim,,sequential_ytd,,identity revenue - expenses = NCOI within metric tolerance,headline,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_operating_margin_pct,Carrier operating margin,"Net carrier operating income over operating revenue, identical scope and period.",liquids,Form 6:annual;Form 6Q:quarter,,,,identical to both inputs,percent,derived_ratio,,"ratio(liq_net_carrier_operating_income, liq_operating_revenue)",liq_net_carrier_operating_income;liq_operating_revenue,"both inputs validated, same scope and exact interval",headline,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_barrels_delivered,Barrels delivered,Barrels delivered in the period.,liquids,Form 6:annual;Form 6Q:quarter;Form 6Q:ytd,,NumberOfBarrelsDeliveredOut,Form 6 traffic schedule,filing entity,utr:bbl | ferc:bbl | pure (reduced-schedule filers),undim,,sequential_ytd,,native filed quarter preferred; a YTD difference is derived and labelled; a YTD fact never satisfies a requested quarter,headline,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_barrels_received,Barrels received,Barrels received in the period.,liquids,Form 6:annual;Form 6Q:quarter;Form 6Q:ytd,,NumberOfBarrelsReceived,Form 6 traffic schedule,filing entity,utr:bbl | ferc:bbl | pure (reduced-schedule filers),undim,,sequential_ytd,,as for barrels delivered,trend,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_barrel_miles,Barrel-miles,Volume-distance activity. Not a utilisation measure.,liquids,Form 6:annual;Form 6 Page 700:annual,,NumberOfBarrelMilesOnTrunkLinesOfOilProducts,Form 6 traffic; Page 700 line,preserve interstate versus whole-entity scope explicitly,barrel-miles,undim,,,,interstate and whole-entity figures are separate observations,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_trunk_revenue,Trunk line revenue,"Trunk line revenue component as filed, exact FERC label preserved.",liquids,Form 6:annual,Form 6:annual,TrunkRevenues,Form 6 operating revenue accounts,filing entity,iso4217:USD,undim,,,,components never summed over an already-filed total,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_delivery_revenue,Delivery revenue,"Delivery revenue component as filed, exact FERC label preserved.",liquids,Form 6:annual,Form 6:annual,DeliveryRevenues,Form 6 operating revenue accounts,filing entity,iso4217:USD,undim,,,,components never summed over an already-filed total,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_allowance_revenue,Allowance revenue,"Allowance revenue component as filed, exact FERC label preserved.",liquids,Form 6:annual,Form 6:annual,AllowanceOilRevenue,Form 6 operating revenue accounts,filing entity,iso4217:USD,undim,,,,components never summed over an already-filed total,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_incidental_revenue,Incidental revenue,"Incidental revenue component as filed, exact FERC label preserved.",liquids,Form 6:annual,Form 6:annual,IncidentalRevenue,Form 6 operating revenue accounts,filing entity,iso4217:USD,undim,,,,components never summed over an already-filed total,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_carrier_property,Carrier property,Carrier property: gross carrier property balance.,liquids,Form 6:instant,,CarrierProperty,Form 6 property schedules,filing entity,iso4217:USD,undim,,,,exact labels preserved; gross additions are not capex,profile,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_noncarrier_property,Noncarrier property,Noncarrier property: gross noncarrier property balance.,liquids,Form 6:instant,,NoncarrierProperty,Form 6 property schedules,filing entity,iso4217:USD,undim,,,,exact labels preserved; gross additions are not capex,profile,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_accum_depreciation,Accumulated depreciation (carrier property),Accumulated depreciation (carrier property): accumulated depreciation on carrier property.,liquids,Form 6:instant,,AccruedDepreciationCarrierProperty,Form 6 property schedules,filing entity,iso4217:USD,undim,,,,exact labels preserved; gross additions are not capex,profile,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_gross_additions,Gross additions to carrier property,Gross additions to carrier property: gross additions in the year; NOT company-defined maintenance or growth capex.,liquids,Form 6:instant,,CarrierPropertyExcludingUndividedJointInterestProperty,Form 6 property schedules,filing entity,iso4217:USD,undim,,,,exact labels preserved; gross additions are not capex,profile,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
