source_doc,source_row,source_regime,source_text,disposition,metric_id,template,adapter,implementation,role,note
Day 3 metric decision matrix,IG-A-11,Interstate gas,Certificated storage capacity / maximum-day withdrawal Capital and physical profile Form 2 p.512-513,merged,storage_capacity,interstate_gas/gas_storage,gas_xbrl,implemented,headline,folded together with max_day_withdrawal
Day 3 metric decision matrix,IG-A-12,Interstate gas,Single-day and three-day peak deliveries (with dates) Activity and use Form 2 p.518,merged,three_day_peak_deliveries,interstate_gas,gas_xbrl,implemented,detail,folded together with single_day_peak_date
Day 3 metric decision matrix,IG-A-13,Interstate gas,Auxiliary peaking facilities Capital and physical profile Form 2 p.519,carried,aux_peaking_capacity,interstate_gas,gas_xbrl,implemented,detail,
Day 3 metric decision matrix,IG-A-14,Interstate gas,Negotiated- and discounted-rate service volumes Commercial durability Form 2 p.313,carried,discounted_rate_volumes,interstate_gas,gas_xbrl,implemented,detail,
Day 3 metric decision matrix,IG-Q-01,Interstate gas,Gas operating revenues (quarterly) Reported earnings Form 3-Q; Q4 from Form 2 monthly contexts,carried,gas_operating_revenues,interstate_gas/gas_storage,gas_xbrl,implemented,headline,
Day 3 metric decision matrix,IG-Q-02,Interstate gas,Utility operating expenses (quarterly) Reported earnings Form 3-Q; Q4 = annual minus Q1-Q3,carried,utility_operating_expenses,interstate_gas/gas_storage,gas_xbrl,implemented,headline,
Day 3 metric decision matrix,IG-Q-03,Interstate gas,Net utility operating income (and FERC operating margin) Reported earnings Form 3-Q; Q4 = annual minus Q1-Q3,merged,net_utility_operating_income,interstate_gas/gas_storage,gas_xbrl,implemented,headline,folded together with operating_margin_pct
Day 3 metric decision matrix,IG-Q-04,Interstate gas,Total volume of throughput (quarterly) Activity and use Form 3-Q; Q4 from Form 2 p.521-M1,carried,total_throughput,interstate_gas,gas_xbrl,implemented,headline,
Day 3 metric decision matrix,IG-Q-05,Interstate gas,Gas plant in service (quarter-end balance) Capital and physical profile Form 3-Q / Form 2,carried,gas_plant_in_service,interstate_gas/gas_storage,gas_xbrl,implemented,profile,
Day 3 metric decision matrix,IOC-01,Interstate gas,Firm transportation subscription (MDQ) Commercial durability Form 549B IOC D records,carried,ioc_firm_transport_mdq,interstate_gas/gas_storage,ioc,implemented,headline,
Day 3 metric decision matrix,IOC-02,Interstate gas,Storage subscription (MDQ) Commercial durability Form 549B IOC D records,carried,ioc_contracted_storage_quantity,gas_storage/interstate_gas,ioc,implemented,headline,
Day 3 metric decision matrix,IOC-03,Interstate gas,Distinct shipper count Commercial durability Form 549B IOC shipper identifier,carried,ioc_identity_coverage,interstate_gas/gas_storage,ioc,implemented,detail,
Day 3 metric decision matrix,IOC-04,Interstate gas,Contract identity Sources and quality Form 549B IOC D records,carried,ioc_identity_coverage,interstate_gas/gas_storage,ioc,implemented,detail,
Day 3 metric decision matrix,IOC-05,Interstate gas,Top-3 / top-5 shipper concentration Commercial durability Form 549B IOC,carried,ioc_top5_shipper_concentration,interstate_gas/gas_storage,ioc,implemented,headline,
Day 3 metric decision matrix,IOC-06,Interstate gas,Negotiated-rate exposure Rates and regulation Form 549B IOC negotiated flag,carried,negotiated_rate_volumes,interstate_gas,gas_xbrl,implemented,detail,
Day 3 metric decision matrix,IOC-07,Interstate gas,Affiliate exposure Commercial durability Form 549B IOC affiliate flag,carried,ioc_affiliate_share,interstate_gas/gas_storage,ioc,implemented,detail,
Day 3 metric decision matrix,IOC-08,Interstate gas,Contract roll-off by primary-term expiry Commercial durability Form 549B IOC contract-end field,carried,ioc_expiry_profile,interstate_gas/gas_storage,ioc,implemented,headline,
Day 3 metric decision matrix,IOC-09,Interstate gas,Contract continuation state Commercial durability Form 549B IOC field [8] 'Days Until Next Possible Contract Expiration',carried,ioc_expiry_profile,interstate_gas/gas_storage,ioc,implemented,headline,
Day 3 metric decision matrix,IOC-10,Interstate gas,Zone-level MDQ Activity and use Form 549B IOC P records,carried,ioc_points,interstate_gas/gas_storage,ioc,implemented,detail,
Day 3 metric decision matrix,CR-01,Interstate gas,Estimated peak-day deliverability Capital and physical profile 549B Capacity Report,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/capacity.py
Day 3 metric decision matrix,CR-02,Interstate gas,Storage deliverability / working gas Capital and physical profile 549B Capacity Report,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/capacity.py
Day 3 metric decision matrix,CR-03,Interstate gas,Peak-day utilisation Activity and use Form 2 p.518 / 549B Capacity Report,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/capacity.py
Day 3 metric decision matrix,CR-04,Interstate gas,Rate-case stage and clock Rates and regulation eLibrary docket metadata,carried_as_source_layer,,,,not_implemented,,"a source/retrieval requirement rather than a metric; satisfied by adapters/elibrary_docs.py (rate_case_status, rate_effective_date)"
Day 3 metric decision matrix,CR-05,Interstate gas,Subject-to-refund window Rates and regulation eLibrary suspension/settlement orders,carried,refund_exposure_window,interstate_gas/gas_storage/liquids,elibrary_docs,implemented,conditional,
Day 3 metric decision matrix,CR-06,Interstate gas,Settled-rate effective date Rates and regulation Settlement / Commission order,carried,rate_effective_date,interstate_gas/gas_storage/liquids/intrastate_549d,elibrary_docs,implemented,detail,
Day 3 metric decision matrix,CR-07,Interstate gas,Rate moratorium and next-case deadline Rates and regulation Settlement documents,carried,rate_case_status,interstate_gas/gas_storage/liquids/intrastate_549d,elibrary_docs,implemented,headline,
Day 3 metric decision matrix,CR-08,Interstate gas,Settlement economic terms Rates and regulation Settlement documents,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/elibrary_docs.py (gated on order text)
Day 3 metric decision matrix,CR-09,Interstate gas,Effective tariff records Rates and regulation eTariff,carried,tariff_operative_rate,interstate_gas/liquids,elibrary_docs,implemented,gated,
Day 3 metric decision matrix,LQ-A-01,Liquids,Operating revenues (annual) Reported earnings Form 6 p.114,carried,liq_operating_revenue,liquids,liquids_xbrl,implemented,headline,
Day 3 metric decision matrix,LQ-A-02,Liquids,Trunk / delivery / allowance-oil / incidental revenue Reported earnings Form 6 p.300,merged,liq_allowance_revenue,liquids,liquids_xbrl,implemented,detail,folded together with liq_incidental_revenue
Day 3 metric decision matrix,LQ-A-03,Liquids,Operating expenses (annual) Reported earnings Form 6 p.114,carried,liq_operating_expenses,liquids,liquids_xbrl,implemented,headline,
Day 3 metric decision matrix,LQ-A-04,Liquids,Net carrier operating income (annual) Reported earnings Form 6 p.114,carried,liq_net_carrier_operating_income,liquids,liquids_xbrl,implemented,headline,
Day 3 metric decision matrix,LQ-A-05,Liquids,Net income Reported earnings Form 6 p.114,carried,net_income,interstate_gas/gas_storage,gas_xbrl,implemented,detail,matched on intent; the revised registry places it under interstate_gas/gas_storage rather than Liquids
Day 3 metric decision matrix,LQ-A-06,Liquids,Carrier property / noncarrier property Capital and physical profile Form 6 p.110,carried,liq_carrier_property,liquids,liquids_xbrl,implemented,profile,
Day 3 metric decision matrix,LQ-A-07,Liquids,Barrels received / delivered out (annual) Activity and use Form 6 p.600,carried,liq_barrels_received,liquids,liquids_xbrl,implemented,trend,
Day 3 metric decision matrix,LQ-A-08,Liquids,Barrel-miles Activity and use Form 6 p.600 / p.700,carried,liq_barrel_miles,liquids,liquids_xbrl,implemented,detail,
Day 3 metric decision matrix,LQ-A-09,Liquids,Trunk-line miles (products / crude) Capital and physical profile Form 6 p.602,carried,liq_miles_of_pipeline,liquids,liquids_xbrl,implemented,profile,
Day 3 metric decision matrix,LQ-A-10,Liquids,Carrier-reported jurisdictional original-cost rate base Rates and regulation Form 6 p.700,carried,p700_original_cost_rate_base,liquids,liquids_xbrl,implemented,detail,
Day 3 metric decision matrix,LQ-A-11,Liquids,Carrier-reported trended original-cost rate base Rates and regulation Form 6 p.700,carried,p700_original_cost_rate_base,liquids,liquids_xbrl,implemented,detail,
Day 3 metric decision matrix,LQ-A-12,Liquids,Carrier-reported jurisdictional cost of service Rates and regulation Form 6 p.700,carried,p700_total_cost_of_service,liquids,liquids_xbrl,implemented,detail,
Day 3 metric decision matrix,LQ-A-13,Liquids,"Carrier-reported return components (total, debt, equity) Rates and regulation Form 6 p.700",carried,p700_return_component,liquids,liquids_xbrl,implemented,detail,
Day 3 metric decision matrix,LQ-A-14,Liquids,Reported WACC and capital structure Rates and regulation Form 6 p.700,carried,p700_wacc,liquids,liquids_xbrl,implemented,detail,
Day 3 metric decision matrix,LQ-A-15,Liquids,Interstate operating revenues and interstate throughput Rates and regulation Form 6 p.700,merged,p700_interstate_operating_revenue,liquids,liquids_xbrl,implemented,detail,folded together with liq_operating_revenue
Day 3 metric decision matrix,LQ-A-16,Liquids,Depreciation expense (Page 700 basis) Reported earnings Form 6 p.700,carried,depreciation_expense,interstate_gas/gas_storage,gas_xbrl,implemented,detail,matched on intent; the revised registry places it under interstate_gas/gas_storage rather than Liquids
Day 3 metric decision matrix,LQ-Q-01,Liquids,Operating revenues (quarterly) Reported earnings Form 6-Q; Q4 = annual - Q3 YTD,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6Q regime)
Day 3 metric decision matrix,LQ-Q-02,Liquids,Operating expenses (quarterly) Reported earnings Form 6-Q; Q4 derived,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6Q regime)
Day 3 metric decision matrix,LQ-Q-03,Liquids,Net carrier operating income (quarterly) Reported earnings Form 6-Q; Q4 derived,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6Q regime)
Day 3 metric decision matrix,LQ-Q-04,Liquids,Net income (quarterly) Reported earnings Form 6-Q,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6Q regime)
Day 3 metric decision matrix,LQ-Q-05,Liquids,Barrels delivered out / received (quarterly) Activity and use Form 6-Q YTD differenced; Q4 = annual - Q3 YTD,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6Q regime)
Day 3 metric decision matrix,LQ-Q-06,Liquids,Carrier property (quarter-end balance) Capital and physical profile Form 6-Q,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6Q regime)
Day 3 metric decision matrix,LQ-Q-07,Liquids,Gross additions to carrier property Capital and physical profile Form 6-Q investing-activities schedule,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6Q regime)
Day 3 metric decision matrix,LQ-Q-08,Liquids,Crude / products and state-of-origin splits Activity and use Form 6-Q dimensions,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6Q regime)
Day 3 metric decision matrix,LQ-Q-09,Liquids,Quarterly regulatory economics Rates and regulation Form 6-Q,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6Q regime)
Day 3 metric decision matrix,IS-01,Intrastate §311/Hinshaw,Quarterly billed usage Activity and use Form 549D usage billing determinant,merged,i311_billed_transport_usage,intrastate_549d,form549d,implemented,headline,folded together with i311_storage_determinants
Day 3 metric decision matrix,IS-02,Intrastate §311/Hinshaw,Annual §311 / Hinshaw revenue Reported earnings Form 549D revenue fields (Q4),carried,i311_annual_transport_revenue,intrastate_549d,form549d,implemented,headline,
Day 3 metric decision matrix,IS-03,Intrastate §311/Hinshaw,"Revenue components (reservation, usage, annual-volume, other) Reported earnings Form 549D (Q4)",merged,i311_storage_determinants,intrastate_549d,form549d,implemented,detail,folded together with i311_revenue_components
Day 3 metric decision matrix,IS-04,Intrastate §311/Hinshaw,Revenue coverage (usage-weighted) Sources and quality Derived from Form 549D,carried,i311_revenue_grain_diagnostic,intrastate_549d,form549d,implemented,detail,
Day 3 metric decision matrix,IS-05,Intrastate §311/Hinshaw,Distinct shippers and top-3/top-5 concentration Commercial durability Form 549D,carried,ioc_top5_shipper_concentration,interstate_gas/gas_storage,ioc,implemented,headline,matched on intent; the revised registry places it under interstate_gas/gas_storage rather than Intrastate §311/Hinshaw
Day 3 metric decision matrix,IS-06,Intrastate §311/Hinshaw,Firm versus interruptible service (firm share of billed usage) Commercial durability Form 549D character of service,merged,i311_billed_transport_usage,intrastate_549d,form549d,implemented,headline,folded together with i311_firm_share
Day 3 metric decision matrix,IS-07,Intrastate §311/Hinshaw,Affiliate activity share Commercial durability Form 549D affiliate flag,carried,ioc_affiliate_share,interstate_gas/gas_storage,ioc,implemented,detail,matched on intent; the revised registry places it under interstate_gas/gas_storage rather than Intrastate §311/Hinshaw
Day 3 metric decision matrix,IS-08,Intrastate §311/Hinshaw,Contract begin / end dates (firm contracts ending within two years) Commercial durability Form 549D,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by ioc_expiry_profile + i311_contract_expiry
Day 3 metric decision matrix,IS-09,Intrastate §311/Hinshaw,Reported component-level rates (with descriptors) Rates and regulation Form 549D rate fields + descriptors,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by i311_component_rates
Day 3 metric decision matrix,IS-10,Intrastate §311/Hinshaw,Discounted-rate presence Rates and regulation Form 549D discounted-rate fields,carried,i311_discounts_and_schedules,intrastate_549d,form549d,implemented,detail,
Day 3 metric decision matrix,IS-11,Intrastate §311/Hinshaw,Rate schedule and PR docket Rates and regulation Form 549D + eLibrary,carried,i311_discounts_and_schedules,intrastate_549d,form549d,implemented,detail,
Day 3 metric decision matrix,LNG-01,LNG (NGA §3),Authorised send-out / liquefaction capacity Capital and physical profile Certificate orders (eLibrary),merged,lng_liquefaction_capacity,lng,lng,implemented,headline,"folded together with lng_regas_sendout_capacity, lng_status_authorised, lng_material_order"
Day 3 metric decision matrix,LNG-02,LNG (NGA §3),Authorised LNG storage capacity Capital and physical profile Certificate orders (eLibrary),merged,lng_storage_capacity,lng,lng,implemented,profile,"folded together with lng_status_authorised, lng_material_order"
Day 3 metric decision matrix,LNG-03,LNG (NGA §3),In-service status and dates (trains / berths / tanks / facilities) Events and risks eLibrary letter orders,merged,lng_status_authorised,lng,lng,implemented,headline,folded together with lng_material_order
Day 3 metric decision matrix,LNG-04,LNG (NGA §3),Major certificate and regulatory events Events and risks eLibrary CP dockets,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/lng.py (lng_material_order)
Day 3 metric decision matrix,LNG-05,LNG (NGA §3),Semi-annual operational report presence Sources and quality eLibrary ('284.126 (g) Semi-Annual Storage Report'),carried,lng_operational_report,lng,lng,implemented,detail,
Day 3 metric decision matrix,LNG-06,LNG (NGA §3),FERC site inspections and follow-up Events and risks eLibrary inspection letters,carried,lng_inspection,lng,lng,implemented,detail,
Day 3 metric decision matrix,EV-01,Interstate gas,Serious service interruption report Events and risks eLibrary documentType '260.9 Service Interruption Report',carried,event_reportable_interruption,interstate_gas,elibrary_docs,implemented,detail,
Day 3 current-vs-target gap,Form 2 / 2-A annual XBRL instances,Interstate gas,Form 2 / 2-A annual XBRL instances HEADLINE,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/gas_xbrl.py + ferclib/xbrl_adapter.py
Day 3 current-vs-target gap,Gas operating revenues (annual),Interstate gas,Gas operating revenues (annual) HEADLINE,carried,gas_operating_revenues,interstate_gas/gas_storage,gas_xbrl,implemented,headline,
Day 3 current-vs-target gap,Utility operating expenses / net utility operating income / net income (gas),Interstate gas,Utility operating expenses / net utility operating income / net income (gas) HEADLINE,merged,net_utility_operating_income,interstate_gas/gas_storage,gas_xbrl,implemented,headline,"folded together with utility_operating_expenses, net_income"
Day 3 current-vs-target gap,Form 3-Q Gas (quarterly returns),Interstate gas,Form 3-Q Gas (quarterly returns) HEADLINE,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/gas_xbrl.py (Form 3Q Gas regime)
Day 3 current-vs-target gap,Q4 derivations (revenue from Form 2 monthly contexts; opex/NUOI = annual - Q1-Q3; Q4 throughput from p.521-M1),Interstate gas,Q4 derivations (revenue from Form 2 monthly contexts; opex/NUOI = annual - Q1-Q3; Q4 throughput from p.521-M1) HEADLINE,carried,net_utility_operating_income,interstate_gas/gas_storage,gas_xbrl,implemented,headline,
Day 3 current-vs-target gap,Gas account (p.520) system totals,Interstate gas,Gas account (p.520) system totals DRILL_DOWN (annual anchor + cross-check once the quarterly series lands),carried,gas_account_balancing_total,interstate_gas/gas_storage,gas_xbrl,implemented,detail,
Day 3 current-vs-target gap,Quarterly total throughput series,Interstate gas,Quarterly total throughput series HEADLINE,carried,total_throughput,interstate_gas,gas_xbrl,implemented,headline,
Day 3 current-vs-target gap,Peak-day deliveries and dates (p.518),Interstate gas,Peak-day deliveries and dates (p.518) DRILL_DOWN,carried,single_day_peak_date,interstate_gas,gas_xbrl,implemented,detail,
Day 3 current-vs-target gap,Transmission miles (p.514),Interstate gas,Transmission miles (p.514) DRILL_DOWN,carried,transmission_miles,interstate_gas,gas_xbrl,implemented,profile,
Day 3 current-vs-target gap,Compressor stations (p.508: HP / units / fuel),Interstate gas,Compressor stations (p.508: HP / units / fuel) DRILL_DOWN,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by gas registry: compressor_units / certificated_horsepower / compressor_fuel
Day 3 current-vs-target gap,Storage capacity / max-day withdrawal (p.512-513),Interstate gas,Storage capacity / max-day withdrawal (p.512-513) DRILL_DOWN (storage-module HEADLINE where material),merged,storage_capacity,interstate_gas/gas_storage,gas_xbrl,implemented,headline,folded together with max_day_withdrawal
Day 3 current-vs-target gap,Auxiliary peaking facilities (p.519),Interstate gas,Auxiliary peaking facilities (p.519) DRILL_DOWN,carried,aux_peaking_capacity,interstate_gas,gas_xbrl,implemented,detail,
Day 3 current-vs-target gap,Negotiated- / discounted-rate volumes (p.313),Interstate gas,Negotiated- / discounted-rate volumes (p.313) DRILL_DOWN,carried,discounted_rate_volumes,interstate_gas,gas_xbrl,implemented,detail,
Day 3 current-vs-target gap,Accumulated depreciation (gas / transmission),Interstate gas,Accumulated depreciation (gas / transmission) DRILL_DOWN,carried,accum_prov_depreciation_gas_plant,interstate_gas/gas_storage,gas_xbrl,implemented,profile,
Day 3 current-vs-target gap,Form 549B Index of Customers (attachments),Interstate gas,Form 549B Index of Customers (attachments) HEADLINE,carried,ioc_identity_coverage,interstate_gas/gas_storage,ioc,implemented,detail,
Day 3 current-vs-target gap,IOC derived metrics (MDQ change / concentration / roll-off buckets / continuation),Interstate gas,IOC derived metrics (MDQ change / concentration / roll-off buckets / continuation) HEADLINE,merged,ioc_top5_shipper_concentration,interstate_gas/gas_storage,ioc,implemented,headline,folded together with ioc_mdq_change
Day 3 current-vs-target gap,549B Capacity Report,Interstate gas,549B Capacity Report GATED,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/capacity.py
Day 3 current-vs-target gap,Peak-day utilisation,Interstate gas,Peak-day utilisation GATED,carried,cap_peak_day_ratio,interstate_gas,capacity,implemented,gated,
Day 3 current-vs-target gap,Rate-case stage and clock,Interstate gas / liquids,Rate-case stage and clock HEADLINE,carried_as_source_layer,,,,not_implemented,,"a source/retrieval requirement rather than a metric; satisfied by adapters/elibrary_docs.py (rate_case_status, rate_effective_date)"
Day 3 current-vs-target gap,Subject-to-refund window,Interstate gas / liquids,Subject-to-refund window EVENT_ALERT,carried,refund_exposure_window,interstate_gas/gas_storage/liquids,elibrary_docs,implemented,conditional,
Day 3 current-vs-target gap,Settlement economic terms,Interstate gas / liquids,Settlement economic terms GATED,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/elibrary_docs.py (gated on order text)
Day 3 current-vs-target gap,eTariff records,Gas / liquids,eTariff records GATED,carried,tariff_operative_rate,interstate_gas/liquids,elibrary_docs,implemented,gated,
Day 3 current-vs-target gap,Form 576 (§260.9 service interruption),Interstate gas,Form 576 (§260.9 service interruption) EVENT_ALERT,carried,event_reportable_interruption,interstate_gas,elibrary_docs,implemented,detail,
Day 3 current-vs-target gap,Form 577 (replacement of deteriorated facilities),Interstate gas,Form 577 (replacement of deteriorated facilities) EVENT_ALERT (if a route exists),carried,event_replacement_report,interstate_gas,elibrary_docs,implemented,detail,
Day 3 current-vs-target gap,Form 6 annual XBRL,Liquids,Form 6 annual XBRL HEADLINE,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6 regime)
Day 3 current-vs-target gap,Net carrier operating income + operating expenses (p.114),Liquids,Net carrier operating income + operating expenses (p.114) HEADLINE,carried,liq_net_carrier_operating_income,liquids,liquids_xbrl,implemented,headline,
Day 3 current-vs-target gap,Form 6-Q (quarterly returns),Liquids,Form 6-Q (quarterly returns) HEADLINE,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/liquids_xbrl.py (Form 6Q regime)
Day 3 current-vs-target gap,Q4 / quarterly derivations (annual - Q3 YTD; YTD differencing),Liquids,Q4 / quarterly derivations (annual - Q3 YTD; YTD differencing) HEADLINE,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by ferclib/periods.py + xbrl_adapter derivations
Day 3 current-vs-target gap,Barrels received / delivered (annual),Liquids,Barrels received / delivered (annual) HEADLINE,carried,liq_barrels_received,liquids,liquids_xbrl,implemented,trend,
Day 3 current-vs-target gap,Barrel-miles,Liquids,Barrel-miles CHART,carried,liq_barrel_miles,liquids,liquids_xbrl,implemented,detail,
Day 3 current-vs-target gap,Page 700 set (rate base / trended RB / cost of service / return components / WACC / interstate revenue+throughput / depreciation),Liquids,Page 700 set (rate base / trended RB / cost of service / return components / WACC / interstate revenue+throughput / depreciation) HEADLINE (ratio + return scree,merged,p700_total_cost_of_service,liquids,liquids_xbrl,implemented,detail,"folded together with p700_original_cost_rate_base, p700_wacc, p700_return_component"
Day 3 current-vs-target gap,Gross additions to carrier property,Liquids,Gross additions to carrier property DRILL_DOWN,merged,liq_carrier_property,liquids,liquids_xbrl,implemented,profile,folded together with liq_gross_additions
Day 3 current-vs-target gap,Trunk miles + pipeline start/end points,Liquids,Trunk miles + pipeline start/end points DRILL_DOWN,carried,ioc_points,interstate_gas/gas_storage,ioc,implemented,detail,matched on intent; the revised registry places it under interstate_gas/gas_storage rather than Liquids
Day 3 current-vs-target gap,Oil Pipeline Index (current index year / multiplier),Liquids,Oil Pipeline Index (current index year / multiplier) DRILL_DOWN (regulatory context) + EVENT_ALERT on the annual change,carried,liq_oil_pipeline_index_factor,liquids,oil_index,implemented,detail,
Day 3 current-vs-target gap,Tariff / complaint / rate proceedings (IS/OR dockets),Liquids,Tariff / complaint / rate proceedings (IS/OR dockets) EVENT_ALERT,carried,tariff_operative_rate,interstate_gas/liquids,elibrary_docs,implemented,gated,
Day 3 current-vs-target gap,Form 73 (depreciation/service-life investigation),Liquids,Form 73 (depreciation/service-life investigation) EVENT_ALERT (if route exists),carried_as_source_layer,,,,not_implemented,,"a source/retrieval requirement rather than a metric; satisfied by adapters/elibrary_docs.py (event route; retrieval verified, classification gated)"
Day 3 current-vs-target gap,FERC audit / enforcement findings,Liquids,FERC audit / enforcement findings EVENT_ALERT,carried_as_source_layer,,,,not_implemented,,"a source/retrieval requirement rather than a metric; satisfied by adapters/elibrary_docs.py (event route; retrieval verified, classification gated)"
Day 3 current-vs-target gap,Form 549D datasets 28/29,Intrastate §311,Form 549D datasets 28/29 HEADLINE,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/form549d.py
Day 3 current-vs-target gap,Quarterly billed usage,Intrastate §311,Quarterly billed usage HEADLINE,carried,i311_billed_transport_usage,intrastate_549d,form549d,implemented,headline,
Day 3 current-vs-target gap,Annual §311 revenue + quality gate,Intrastate §311,Annual §311 revenue + quality gate HEADLINE (gated),carried,i311_annual_transport_revenue,intrastate_549d,form549d,implemented,headline,
Day 3 current-vs-target gap,Concentration / firm share / affiliate share / contract expiry,Intrastate §311,Concentration / firm share / affiliate share / contract expiry HEADLINE,merged,ioc_top5_shipper_concentration,interstate_gas/gas_storage,ioc,implemented,headline,"folded together with ioc_expiry_profile, ioc_affiliate_share, i311_firm_share"
Day 3 current-vs-target gap,Reported rates + descriptors,Intrastate §311,Reported rates + descriptors GATED,carried,i311_component_rates,intrastate_549d,form549d,implemented,detail,
Day 3 current-vs-target gap,Receipt/delivery point cross-reference,Intrastate §311,Receipt/delivery point cross-reference GATED,carried,ioc_points,interstate_gas/gas_storage,ioc,implemented,detail,
Day 3 current-vs-target gap,PR-docket rate elections,Intrastate §311,PR-docket rate elections DRILL_DOWN + EVENT_ALERT,carried_as_source_layer,,,,not_implemented,,a source/retrieval requirement rather than a metric; satisfied by adapters/elibrary_docs.py (rate_case_status)
Day 3 current-vs-target gap,Authorised capacities (send-out / storage),LNG,Authorised capacities (send-out / storage) HEADLINE,merged,lng_regas_sendout_capacity,lng,lng,implemented,headline,folded together with lng_status_authorised
Day 3 current-vs-target gap,In-service facility status (trains / berths / tanks),LNG,In-service facility status (trains / berths / tanks) HEADLINE (status table),carried,lng_status_authorised,lng,lng,implemented,headline,
Day 3 current-vs-target gap,Semi-annual operational report tracking,LNG,Semi-annual operational report tracking HEADLINE (freshness) + EVENT_ALERT (missing report),carried,lng_operational_report,lng,lng,implemented,detail,
